ModType,NoisePSD_dBmHz,NoisePower_dBm,EqSNR_dB,LockPct,BER,FER,CountedFrames,FrameErrors,AcquisitionFrames,HGain_dB,Status
16APSK,-148,-76.6966623150499,1.79122084054862,0,0.5,NaN,0,0,NaN,-74.9054414745013,NO_SYNC
16APSK,-150,-78.6966623150499,3.79122084054862,0,0.5,NaN,0,0,NaN,-74.9054414745013,NO_SYNC
16APSK,-152,-80.6966623150499,5.79122084054862,38.2022471910112,0.39453125,0.909090909090909,11,10,62,-74.9054414745013,NO_SYNC
16APSK,-154,-82.6966623150499,7.79122084054862,86.5168539325843,0.155868530273438,0.421875,64,27,17,-74.9054414745013,NO_SYNC
16APSK,-156,-84.6966623150499,9.79122084054862,91.0112359550562,0.0675891285211268,0.169014084507042,71,12,11,-74.9054414745013,NO_SYNC
16APSK,-158,-86.6966623150499,11.7912208405486,100,0.0447771990740741,0.111111111111111,81,9,7,-74.9054414745013,SYNC_ONLY
16APSK,-160,-88.6966623150499,13.7912208405486,100,0.00179639274691358,0.037037037037037,81,3,3,-74.9054414745013,SYNC_ONLY
16APSK,-162,-90.6966623150499,15.7912208405486,100,0,0,81,0,3,-74.9054414745013,ZERO_ERROR
16APSK,-164,-92.6966623150499,17.7912208405486,100,0,0,81,0,3,-74.9054414745013,ZERO_ERROR
16APSK,-166,-94.6966623150499,19.7912208405486,100,0,0,81,0,3,-74.9054414745013,ZERO_ERROR
16APSK,-168,-96.6966623150499,21.7912208405486,100,0,0,81,0,3,-74.9054414745013,ZERO_ERROR
16APSK,-170,-98.6966623150499,23.7912208405486,100,0,0,81,0,3,-74.9054414745013,ZERO_ERROR
16APSK,-146,-74.6966623150499,NaN,NaN,-2,NaN,NaN,NaN,NaN,NaN,ERROR
16APSK,-144,-72.6966623150499,NaN,NaN,-2,NaN,NaN,NaN,NaN,NaN,ERROR
16APSK,-142,-70.6966623150499,NaN,NaN,-2,NaN,NaN,NaN,NaN,NaN,ERROR
16APSK,-140,-68.6966623150499,NaN,NaN,-2,NaN,NaN,NaN,NaN,NaN,ERROR
16QAM,-140,-68.6966623150499,-6.20829782859504,0,0.5,NaN,0,0,NaN,-74.904960143645,NO_SYNC
16QAM,-142,-70.6966623150499,-4.20829782859504,0,0.5,NaN,0,0,NaN,-74.904960143645,NO_SYNC
16QAM,-144,-72.6966623150499,-2.20829782859504,33.7078651685393,0.430230034722222,0.888888888888889,9,8,49,-74.904960143645,NO_SYNC
16QAM,-146,-74.6966623150499,-0.208297828595036,44.9438202247191,0.388741629464286,0.821428571428571,28,23,18,-74.904960143645,NO_SYNC
16QAM,-148,-76.6966623150499,1.79170217140496,42.6966292134831,0.154007523148148,0.407407407407407,27,11,17,-74.904960143645,NO_SYNC
16QAM,-150,-78.6966623150499,3.79170217140496,87.6404494382023,0.059814453125,0.166666666666667,72,12,11,-74.904960143645,NO_SYNC
16QAM,-152,-80.6966623150499,5.79170217140496,94.3820224719101,0.0130550986842105,0.0263157894736842,76,2,9,-74.904960143645,NO_SYNC
16QAM,-154,-82.6966623150499,7.79170217140496,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-156,-84.6966623150499,9.79170217140496,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-158,-86.6966623150499,11.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-160,-88.6966623150499,13.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-162,-90.6966623150499,15.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-164,-92.6966623150499,17.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-166,-94.6966623150499,19.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-168,-96.6966623150499,21.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
16QAM,-170,-98.6966623150499,23.791702171405,100,0,0,81,0,3,-74.904960143645,ZERO_ERROR
32APSK,-150,-78.6966623150499,4.24630496340575,0,0.5,NaN,0,0,NaN,-74.4503573516442,NO_SYNC
32APSK,-152,-80.6966623150499,6.24630496340575,0,0.5,NaN,0,0,NaN,-74.4503573516442,NO_SYNC
32APSK,-154,-82.6966623150499,8.24630496340575,0,0.5,NaN,0,0,NaN,-74.4503573516442,NO_SYNC
32APSK,-156,-84.6966623150499,10.2463049634057,0,0.5,NaN,0,0,NaN,-74.4503573516442,NO_SYNC
32APSK,-158,-86.6966623150499,12.2463049634057,96.6292134831461,0.0250693873355263,0.0789473684210526,76,6,12,-74.4503573516442,NO_SYNC
32APSK,-160,-88.6966623150499,14.2463049634057,0,0.5,NaN,0,0,NaN,-74.4503573516442,NO_SYNC
32APSK,-162,-90.6966623150499,16.2463049634057,100,0.000132619598765432,0.0123456790123457,81,1,4,-74.4503573516442,SYNC_ONLY
32APSK,-164,-92.6966623150499,18.2463049634057,100,0,0,81,0,4,-74.4503573516442,ZERO_ERROR
