ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
QPSK,-152,364232726,5.2619834413737,100,0,0,1,1,1
QPSK,-152,364233735,5.26193653384567,100,0,0,1,1,1
QPSK,-152,364234744,5.26177086878671,100,0,0,1,1,1
QPSK,-152,364235753,5.26188209670909,100,0,0,1,1,1
QPSK,-152,364236762,5.26181956198289,100,0,0,1,1,1
QPSK,-152,364237771,5.26190218222229,100,0,0,1,1,1
QPSK,-152,364238780,5.26204301849823,100,0,0,1,1,1
QPSK,-152,364239789,5.2619996002264,100,0,0,1,1,1
QPSK,-152,364240798,5.2618318717998,100,0,0,1,1,1
QPSK,-152,364241807,5.26196137205423,100,0,0,1,1,1
QPSK,-151,364232726,4.2619834413737,100,0,0,1,1,1
QPSK,-151,364233735,4.26193653384567,100,0,0,1,1,1
QPSK,-151,364234744,4.26177086878671,100,0,0,1,1,1
QPSK,-151,364235753,4.26188209670909,100,0,0,1,1,1
QPSK,-151,364236762,4.26181956198289,100,0,0,1,1,1
QPSK,-151,364237771,4.26190218222229,100,0,0,1,1,1
QPSK,-151,364238780,4.26204301849823,100,0,0,1,1,1
QPSK,-151,364239789,4.2619996002264,100,0,0,1,1,1
QPSK,-151,364240798,4.2618318717998,100,0,0,1,1,1
QPSK,-151,364241807,4.26196137205423,100,0,0,1,1,1
QPSK,-150,364232726,3.2619834413737,100,0,0,1,1,1
QPSK,-150,364233735,3.26193653384567,100,0,0,1,1,1
QPSK,-150,364234744,3.26177086878671,100,0,0,1,1,1
QPSK,-150,364235753,3.26188209670909,100,0,0,1,1,1
QPSK,-150,364236762,3.26181956198289,100,0,0,1,1,1
QPSK,-150,364237771,3.26190218222229,100,0,0,1,1,1
QPSK,-150,364238780,3.26204301849823,100,0,0,1,1,1
QPSK,-150,364239789,3.2619996002264,100,0,0,1,1,1
QPSK,-150,364240798,3.2618318717998,100,0,0,1,1,1
QPSK,-150,364241807,3.26196137205423,100,0,0,1,1,1
QPSK,-149,364232726,2.2619834413737,100,0.000313464506172839,0.0123456790123457,1,0,0
QPSK,-149,364233735,2.26193653384567,100,0,0,1,1,1
QPSK,-149,364234744,2.26177086878671,100,0.00632957175925926,0.0123456790123457,1,0,0
QPSK,-149,364235753,2.26188209670909,100,0,0,1,1,1
QPSK,-149,364236762,2.26181956198289,100,0,0,1,1,1
QPSK,-149,364237771,2.26190218222229,100,0,0,1,1,1
QPSK,-149,364238780,2.26204301849823,100,0,0,1,1,1
QPSK,-149,364239789,2.2619996002264,100,0,0,1,1,1
QPSK,-149,364240798,2.2618318717998,100,0,0,1,1,1
QPSK,-149,364241807,2.26196137205423,100,0,0,1,1,1
QPSK,-148,364232726,1.2619834413737,100,0.000590760030864198,0.0123456790123457,1,0,0
QPSK,-148,364233735,1.26193653384567,100,0,0,1,1,1
QPSK,-148,364234744,1.26177086878671,100,0.0110677083333333,0.0246913580246914,1,0,0
QPSK,-148,364235753,1.26188209670909,100,0.00212191358024691,0.0123456790123457,1,0,0
QPSK,-148,364236762,1.26181956198289,100,0.00563030478395062,0.0123456790123457,1,0,0
QPSK,-148,364237771,1.26190218222229,100,0.00583526234567901,0.0123456790123457,1,0,0
QPSK,-148,364238780,1.26204301849823,100,0,0,1,1,1
QPSK,-148,364239789,1.2619996002264,100,0,0,1,1,1
QPSK,-148,364240798,1.2618318717998,100,0,0,1,1,1
QPSK,-148,364241807,1.26196137205423,100,0,0,1,1,1
