ModType,NoisePSD,EqSNR_dB,SyncSuccessPct,DecodeSuccessPct,ZeroErrorPct,MeanLockPct
16APSK,-156,9.78520204554026,0,0,0,93.3707865168539
16APSK,-157,10.7852020455403,10,0,0,96.4044943820225
16APSK,-158,11.7852020455403,50,0,0,98.6516853932584
16APSK,-159,12.7852020455403,80,0,0,99.438202247191
16APSK,-160,13.7852020455403,100,0,0,99.7752808988764
16APSK,-161,14.7852020455403,100,30,30,99.6629213483146
16APSK,-162,15.7852020455403,100,30,30,99.7752808988764
16APSK,-163,16.7852020455403,100,60,60,99.8876404494382
16APSK,-164,17.7852020455403,100,80,80,100
16QAM,-150,3.78565139929969,0,0,0,84.1573033707865
16QAM,-151,4.78565139929969,0,0,0,92.5842696629213
16QAM,-152,5.78565139929969,0,0,0,96.2921348314607
16QAM,-153,6.78565139929969,20,0,0,97.3033707865169
16QAM,-154,7.78565139929969,100,30,30,99.7752808988764
16QAM,-155,8.78565139929969,100,80,80,99.6629213483146
16QAM,-156,9.78565139929969,100,100,100,100
32APSK,-158,12.2561933644828,0,0,0,19.1011235955056
32APSK,-159,13.2561933644828,20,0,0,20
32APSK,-160,14.2561933644828,40,0,0,39.7752808988764
32APSK,-161,15.2561933644828,100,10,10,99.7752808988764
32APSK,-162,16.2561933644828,100,70,70,99.5505617977528
32APSK,-163,17.2561933644828,100,90,90,99.5505617977528
32APSK,-164,18.2561933644828,100,100,100,99.7752808988764
32APSK,-165,19.2561933644828,100,100,100,99.7752808988764
32APSK,-166,20.2561933644828,100,100,100,99.7752808988764
32APSK,-167,21.2561933644828,100,100,100,99.7752808988764
32APSK,-168,22.2561933644828,100,100,100,99.7752808988764
32QAM,-154,8.25464472695148,0,0,0,69.8876404494382
32QAM,-155,9.25464472695148,0,0,0,92.4719101123596
32QAM,-156,10.2546447269515,0,0,0,95.6179775280899
32QAM,-157,11.2546447269515,30,10,10,97.6404494382022
32QAM,-158,12.2546447269515,70,40,40,98.6516853932584
32QAM,-159,13.2546447269515,90,50,50,98.9887640449438
32QAM,-160,14.2546447269515,90,50,50,98.9887640449438
32QAM,-161,15.2546447269515,100,70,70,99.1011235955056
32QAM,-162,16.2546447269515,100,80,80,99.1011235955056
32QAM,-163,17.2546447269515,100,70,70,99.2134831460674
32QAM,-164,18.2546447269515,100,60,60,99.3258426966292
QPSK,-146,-0.738086945250099,50,0,0,97.9775280898876
QPSK,-147,0.261913054749901,80,0,0,98.9887640449438
QPSK,-148,1.2619130547499,100,50,50,100
QPSK,-149,2.2619130547499,100,80,80,100
QPSK,-150,3.2619130547499,100,100,100,100
QPSK,-151,4.2619130547499,100,100,100,100
QPSK,-152,5.2619130547499,100,100,100,100
