Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) [],,Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) []
19.6,0,-180,-27.23133464,-0.571748784,,19.6,90,-180,-27.23133464,-0.571748784
19.6,0,-179,-18.55491425,-4.679106316,,19.6,90,-179,-14.77791892,-4.748349574
19.6,0,-178,-10.01456874,-23.75212066,,19.6,90,-178,-9.225530854,-14.98282814
19.6,0,-177,-15.05363036,-17.17567113,,19.6,90,-177,-14.3418588,-12.02721425
19.6,0,-176,-16.60176246,-12.06070881,,19.6,90,-176,-18.36503328,-12.09654465
19.6,0,-175,-13.73522881,-8.518110614,,19.6,90,-175,-15.20142995,-9.141846267
19.6,0,-174,-24.28648022,-15.82343517,,19.6,90,-174,-18.7672657,-14.9548965
19.6,0,-173,-13.83102627,-16.66552142,,19.6,90,-173,-13.67469574,-12.53314081
19.6,0,-172,-26.99068335,-15.86455599,,19.6,90,-172,-29.98221981,-12.96910564
19.6,0,-171,-15.94355971,-10.40456777,,19.6,90,-171,-15.26978824,-10.64846759
19.6,0,-170,-21.15206667,-13.25023303,,19.6,90,-170,-19.26718522,-14.08662135
19.6,0,-169,-20.29842743,-11.7436404,,19.6,90,-169,-17.22518228,-11.96228481
19.6,0,-168,-26.12155628,-11.21134169,,19.6,90,-168,-22.96007543,-10.70443184
19.6,0,-167,-15.27676614,-17.09315324,,19.6,90,-167,-15.57035721,-14.71814469
19.6,0,-166,-12.27276835,-25.07223132,,19.6,90,-166,-12.99047216,-19.55614581
19.6,0,-165,-21.00099443,-11.33212055,,19.6,90,-165,-23.51102135,-11.37694991
19.6,0,-164,-23.20368738,-6.450869639,,19.6,90,-164,-22.75697447,-6.648716753
19.6,0,-163,-16.86967708,-8.400507133,,19.6,90,-163,-22.89913117,-8.377660943
19.6,0,-162,-10.89896664,-13.30242787,,19.6,90,-162,-12.05141955,-13.28355014
19.6,0,-161,-12.71182904,-11.49351322,,19.6,90,-161,-13.72763127,-11.84330527
19.6,0,-160,-23.07308444,-7.394712974,,19.6,90,-160,-25.33915108,-7.458753181
19.6,0,-159,-19.40595024,-6.890753979,,19.6,90,-159,-20.31373801,-7.030131267
19.6,0,-158,-19.76081099,-12.025982,,19.6,90,-158,-24.35205852,-11.87406217
19.6,0,-157,-15.45700681,-18.8629795,,19.6,90,-157,-16.001266,-19.60369141
19.6,0,-156,-20.90693896,-21.23478025,,19.6,90,-156,-19.53464463,-25.65554773
19.6,0,-155,-20.34564133,-29.52367644,,19.6,90,-155,-19.92701551,-19.8973941
19.6,0,-154,-17.35776161,-27.84793464,,19.6,90,-154,-20.08501444,-27.37177392
19.6,0,-153,-26.24197228,-15.15252883,,19.6,90,-153,-33.59703198,-15.29423429
19.6,0,-152,-24.70877628,-10.57192937,,19.6,90,-152,-21.42984947,-10.58856976
19.6,0,-151,-32.78833543,-11.36303823,,19.6,90,-151,-34.67342565,-12.50272553
19.6,0,-150,-19.39942474,-13.70408422,,19.6,90,-150,-17.24802034,-15.50852731
19.6,0,-149,-18.70640697,-13.79765175,,19.6,90,-149,-17.45424025,-14.92288182
19.6,0,-148,-27.71510278,-12.11454888,,19.6,90,-148,-37.75613865,-12.17331103
19.6,0,-147,-26.07767443,-11.15711147,,19.6,90,-147,-21.43485562,-10.25173046
19.6,0,-146,-42.59694762,-13.84531991,,19.6,90,-146,-31.50572336,-12.80033048
19.6,0,-145,-19.43199606,-21.09875756,,19.6,90,-145,-18.86609688,-20.88885641
19.6,0,-144,-16.98908838,-24.49444438,,19.6,90,-144,-15.40583081,-26.45126003
19.6,0,-143,-21.77526978,-15.51536347,,19.6,90,-143,-20.57761563,-18.13409505
19.6,0,-142,-28.56191314,-10.69994302,,19.6,90,-142,-23.22732544,-11.38384154
19.6,0,-141,-26.22931131,-9.815806047,,19.6,90,-141,-19.89836084,-9.924813519
19.6,0,-140,-20.97851792,-11.17519058,,19.6,90,-140,-24.63466256,-11.51300931
19.6,0,-139,-17.65923203,-12.50210037,,19.6,90,-139,-20.95254475,-12.88743832
19.6,0,-138,-20.49020174,-14.41310856,,19.6,90,-138,-21.23052728,-13.9860797
19.6,0,-137,-25.96404693,-19.116879,,19.6,90,-137,-34.19848332,-17.50863931
19.6,0,-136,-18.68153318,-22.16844975,,19.6,90,-136,-20.21338376,-19.2780843
19.6,0,-135,-18.20514422,-18.3770347,,19.6,90,-135,-18.52840134,-17.86243587
19.6,0,-134,-23.60139401,-14.56314749,,19.6,90,-134,-24.48858804,-16.52432351
19.6,0,-133,-40.6251079,-12.6151236,,19.6,90,-133,-30.70097711,-15.01830555
