高度                               纬度                        经度
1150.395564                   7.845                      86.467
1150.399835                   7.888                      86.498
1150.404128                   7.930                      86.530
1150.408443                   7.973                      86.562
1150.412780                   8.015                      86.594
1150.417139                   8.058                      86.626
1150.421520                   8.100                      86.658
1150.425923                   8.143                      86.690
1150.430349                   8.185                      86.722
1150.434796                   8.228                      86.754
1150.439266                   8.270                      86.787
1150.443758                   8.313                      86.819
1150.448271                   8.355                      86.851
1150.452807                   8.397                      86.883
1150.457364                   8.440                      86.915
1150.461944                   8.482                      86.947
1150.466545                   8.525                      86.979
1150.471168                   8.567                      87.011
1150.475814                   8.610                      87.043
1150.480481                   8.652                      87.075
1150.485170                   8.695                      87.107
1150.489881                   8.737                      87.139
1150.494613                   8.779                      87.172
1150.499368                   8.822                      87.204
1150.504144                   8.864                      87.236
1150.508942                   8.907                      87.268
1150.513762                   8.949                      87.300
1150.518604                   8.992                      87.332
1150.523467                   9.034                      87.365
1150.528352                   9.076                      87.397
1150.533259                   9.119                      87.429
1150.538187                   9.161                      87.461
1150.543137                   9.204                      87.493
1150.548109                   9.246                      87.526
1150.553102                   9.288                      87.558
1150.558117                   9.331                      87.590
1150.563153                   9.373                      87.622
1150.568211                   9.415                      87.655
1150.573291                   9.458                      87.687
1150.578392                   9.500                      87.719
1150.583515                   9.543                      87.751
1150.588659                   9.585                      87.784
1150.593824                   9.627                      87.816
1150.599011                   9.670                      87.848
1150.604219                   9.712                      87.881
1150.609449                   9.754                      87.913
1150.614700                   9.797                      87.945
1150.619973                   9.839                      87.978
1150.625267                   9.881                      88.010
1150.630582                   9.924                      88.042
1150.635918                   9.966                      88.075
1150.641276                   10.008                     88.107
1150.646655                   10.051                     88.139
1150.652055                   10.093                     88.172
1150.657477                   10.135                     88.204
1150.662919                   10.177                     88.237
1150.668383                   10.220                     88.269
1150.673868                   10.262                     88.302
1150.679375                   10.304                     88.334
1150.684902                   10.347                     88.367
1150.690450                   10.389                     88.399
1150.696020                   10.431                     88.431
1150.701610                   10.473                     88.464
1150.707222                   10.516                     88.496
1150.712854                   10.558                     88.529
1150.718508                   10.600                     88.562
1150.724182                   10.642                     88.594
1150.729878                   10.685                     88.627
1150.735594                   10.727                     88.659
1150.741332                   10.769                     88.692
1150.747090                   10.811                     88.724
1150.752869                   10.854                     88.757
1150.758669                   10.896                     88.789
1150.764489                   10.938                     88.822
1150.770331                   10.980                     88.855
1150.776193                   11.022                     88.887
1150.782076                   11.065                     88.920
1150.787980                   11.107                     88.953
1150.793905                   11.149                     88.985
1150.799850                   11.191                     89.018
1150.805816                   11.233                     89.051
1150.811802                   11.276                     89.083
1150.817809                   11.318                     89.116
1150.823837                   11.360                     89.149
1150.829885                   11.402                     89.181
1150.835954                   11.444                     89.214
1150.842044                   11.486                     89.247
1150.848153                   11.529                     89.280
1150.854284                   11.571                     89.312
1150.860435                   11.613                     89.345
1150.866606                   11.655                     89.378
1150.872797                   11.697                     89.411
1150.879010                   11.739                     89.444
1150.885242                   11.781                     89.476
1150.891495                   11.824                     89.509
1150.897768                   11.866                     89.542
1150.904061                   11.908                     89.575
1150.910375                   11.950                     89.608
1150.916709                   11.992                     89.641
1150.923063                   12.034                     89.674
1150.929437                   12.076                     89.706
1150.935832                   12.118                     89.739
1150.942246                   12.160                     89.772
1150.948681                   12.202                     89.805
1150.955136                   12.245                     89.838
1150.961611                   12.287                     89.871
1150.968106                   12.329                     89.904
1150.974621                   12.371                     89.937
1150.981156                   12.413                     89.970
1150.987711                   12.455                     90.003
1150.994286                   12.497                     90.036
1151.000881                   12.539                     90.069
1151.007496                   12.581                     90.102
1151.014131                   12.623                     90.135
1151.020785                   12.665                     90.168
