Category,Case,Modulation,Coding,SNR,CFO,BER,LockRate_pct,EVM_post_pct,Status
STD,QPSK none ideal,QPSK,none,100,0,0,100,1.00757420561697,PASS
STD,QPSK none damaged,QPSK,none,12,50000,0,100,9.11512307073319,PASS
STD,QPSK conv ideal,QPSK,convolutional,100,0,0,100,1.01187649125078,PASS
STD,QPSK conv damaged,QPSK,convolutional,12,50000,0,100,8.93908259517492,PASS
STD,8PSK none ideal,8PSK,none,100,0,0,100,1.03826262374859,PASS
STD,8PSK none damaged,8PSK,none,12,50000,0,100,9.14807406867831,PASS
STD,8PSK RS ideal,8PSK,RS,100,0,0,100,1.04480703191456,PASS
STD,8PSK RS damaged,8PSK,RS,12,50000,0,100,9.17230030386497,PASS
STD,8PSK conv ideal,8PSK,convolutional,100,0,0,100,1.03469947741331,PASS
STD,8PSK conv damaged,8PSK,convolutional,12,50000,0,100,9.10365369401224,PASS
PCM,PCM/PSK/PM none ideal,PCM/PSK/PM,none,100,0,NaN,NaN,NaN,ERROR
PCM,PCM/PSK/PM RS damaged,PCM/PSK/PM,RS,8,20000,NaN,NaN,NaN,ERROR
PCM,PCM/PM/biphase-L none ideal,PCM/PM/biphase-L,none,100,0,NaN,NaN,NaN,ERROR
PCM,PCM/PM/biphase-L conv damaged,PCM/PM/biphase-L,convolutional,12,200000,NaN,NaN,NaN,ERROR
PCM,PCM/PM/biphase-L RS damaged,PCM/PM/biphase-L,RS,12,200000,NaN,NaN,NaN,ERROR
4D,4D-TCM eff 2.00 ideal,4D-8PSK-TCM,none,100,0,0,100,0.87572999468656,PASS
4D,4D-TCM eff 2.00 damaged,4D-8PSK-TCM,none,15,200000,0,100,6.30568993470005,PASS
4D,4D-TCM eff 2.25 ideal,4D-8PSK-TCM,none,100,0,0,100,0.886576613012685,PASS
4D,4D-TCM eff 2.25 damaged,4D-8PSK-TCM,none,15,200000,0,100,6.38641816269733,PASS
4D,4D-TCM eff 2.50 ideal,4D-8PSK-TCM,none,100,0,0,100,0.8830662071817,PASS
4D,4D-TCM eff 2.50 damaged,4D-8PSK-TCM,none,15,200000,0,100,6.34435266438159,PASS
4D,4D-TCM eff 2.75 ideal,4D-8PSK-TCM,none,100,0,0,100,0.896193981251056,PASS
4D,4D-TCM eff 2.75 damaged,4D-8PSK-TCM,none,15,200000,0,100,6.3075194857716,PASS
H,8PSK no H reference,8PSK,none,12,50000,0,100,9.1770496262386,PASS
H,8PSK mild H,8PSK,none,12,50000,0,100,9.32089048521849,PASS
H,8PSK strong H,8PSK,none,12,50000,0,100,13.5088993972151,PASS
