modulation,note,snr,ber,evm,snr_est,lock
BPSK,TM TPC (64,57)^2,0,0,34.967,9.1267,100
BPSK,TM TPC (64,57)^2,2,0,27.5,11.213,100
BPSK,TM TPC (64,57)^2,4,0,22.368,13.007,100
BPSK,TM TPC (64,57)^2,6,0,17.796,14.994,100
BPSK,TM TPC (64,57)^2,8,0,14.456,16.799,100
BPSK,TM TPC (64,57)^2,10,0,11.508,18.78,100
BPSK,TM TPC (64,57)^2,12,0,9.3532,20.581,100
BPSK,TM TPC (64,57)^2,14,0,7.5771,22.41,100
BPSK,TM TPC (64,57)^2,16,0,6.2508,24.081,100
BPSK,TM TPC (64,57)^2,18,0,5.1814,25.711,100
BPSK,TM TPC (64,57)^2,20,0,4.3523,27.226,100
QPSK,TM TPC (64,57)^2,0,0,34.304,9.2931,100
QPSK,TM TPC (64,57)^2,2,0,27.797,11.12,100
QPSK,TM TPC (64,57)^2,4,0,22.216,13.067,100
QPSK,TM TPC (64,57)^2,6,0,17.59,15.095,100
QPSK,TM TPC (64,57)^2,8,0,14.137,16.993,100
QPSK,TM TPC (64,57)^2,10,0,11.408,18.856,100
QPSK,TM TPC (64,57)^2,12,0,9.3123,20.619,100
QPSK,TM TPC (64,57)^2,14,0,7.4419,22.566,100
QPSK,TM TPC (64,57)^2,16,0,6.1486,24.224,100
QPSK,TM TPC (64,57)^2,18,0,5.0492,25.936,100
QPSK,TM TPC (64,57)^2,20,0,4.2527,27.427,100
8PSK,TM TPC (64,57)^2,0,0.5,45.903,9.3954,0
8PSK,TM TPC (64,57)^2,2,0.5,45.144,7.7138,0
8PSK,TM TPC (64,57)^2,4,0.50471,30.414,7.0496,100
8PSK,TM TPC (64,57)^2,6,0,17.91,14.938,100
8PSK,TM TPC (64,57)^2,8,0,14.137,16.993,100
8PSK,TM TPC (64,57)^2,10,0,11.457,18.818,100
8PSK,TM TPC (64,57)^2,12,0,9.1983,20.726,100
8PSK,TM TPC (64,57)^2,14,0,7.4574,22.548,100
8PSK,TM TPC (64,57)^2,16,0,6.0454,24.371,100
8PSK,TM TPC (64,57)^2,18,0,4.9732,26.067,100
8PSK,TM TPC (64,57)^2,20,0,4.1297,27.682,100
GMSK,TM TPC (64,57)^2,0,0.49877,24.309,12.285,0
GMSK,TM TPC (64,57)^2,2,0.50944,19.845,14.047,60
GMSK,TM TPC (64,57)^2,4,0.67126,16.38,15.714,75
GMSK,TM TPC (64,57)^2,6,0.39028,13.01,17.714,100
GMSK,TM TPC (64,57)^2,8,0,10.688,19.422,100
GMSK,TM TPC (64,57)^2,10,0,8.5602,21.35,100
GMSK,TM TPC (64,57)^2,12,0,7.1405,22.925,100
GMSK,TM TPC (64,57)^2,14,0,5.9757,24.472,100
GMSK,TM TPC (64,57)^2,16,0,4.9961,26.027,100
GMSK,TM TPC (64,57)^2,18,0,4.381,27.168,100
GMSK,TM TPC (64,57)^2,20,0,4.0157,27.925,100
16QAM,TM TPC (64,57)^2,0,0.49903,26.429,11.59,60
16QAM,TM TPC (64,57)^2,2,0.023739,24.198,12.473,100
16QAM,TM TPC (64,57)^2,4,2.8027e-05,21.189,13.691,100
16QAM,TM TPC (64,57)^2,6,0,17.832,15.311,100
16QAM,TM TPC (64,57)^2,8,0,14.498,17.056,100
16QAM,TM TPC (64,57)^2,10,0,11.883,18.824,100
16QAM,TM TPC (64,57)^2,12,0,9.7779,20.482,100
16QAM,TM TPC (64,57)^2,14,0,7.9757,22.263,100
16QAM,TM TPC (64,57)^2,16,0,6.645,23.867,100
16QAM,TM TPC (64,57)^2,18,0,6.0532,24.724,100
16QAM,TM TPC (64,57)^2,20,0,4.8389,26.63,100
32QAM,TM TPC (64,57)^2,0,0.50594,20.962,13.381,0
32QAM,TM TPC (64,57)^2,2,0.50456,19.837,13.951,60
32QAM,TM TPC (64,57)^2,4,0.21155,18.309,14.811,75
32QAM,TM TPC (64,57)^2,6,0.12733,16.895,15.547,100
32QAM,TM TPC (64,57)^2,8,0,15.025,16.64,100
32QAM,TM TPC (64,57)^2,10,0,12.982,17.885,100
32QAM,TM TPC (64,57)^2,12,0,11.141,19.239,100
32QAM,TM TPC (64,57)^2,14,0,9.8064,20.37,100
32QAM,TM TPC (64,57)^2,16,0,9.1394,20.988,100
32QAM,TM TPC (64,57)^2,18,0,8.5314,21.585,100
32QAM,TM TPC (64,57)^2,20,0,8.3319,21.769,100
