Modulation,Coding,InputSNR_dB,BER,LockRate_pct,DetectedFMFrames,TotalFMFrames,Success,ErrorMsg
FM,无编码,0,0.5,0,NaN,NaN,1,
FM,无编码,2,0.5,0,NaN,NaN,1,
FM,无编码,4,0.0130638353996307,95.6521739130435,NaN,NaN,1,
FM,无编码,6,0.00209641255605381,100,NaN,NaN,1,
FM,无编码,8,0.000134529147982063,100,NaN,NaN,1,
FM,无编码,10,1.12107623318386e-05,100,NaN,NaN,1,
FM,无编码,12,0,100,NaN,NaN,1,
FM,无编码,14,0,100,NaN,NaN,1,
FM,卷积码 1/2,0,0.5,0,NaN,NaN,1,
FM,卷积码 1/2,2,0.5,0,NaN,NaN,1,
FM,卷积码 1/2,4,0.000389426481000708,100,NaN,NaN,1,
FM,卷积码 1/2,6,0,100,NaN,NaN,1,
FM,卷积码 1/2,8,0,100,NaN,NaN,1,
FM,卷积码 1/2,10,0,100,NaN,NaN,1,
FM,卷积码 1/2,12,0,100,NaN,NaN,1,
FM,卷积码 1/2,14,0,100,NaN,NaN,1,
FM,RS,0,0.5,0,NaN,NaN,1,
FM,RS,2,0.5,95.6521739130435,NaN,NaN,1,
FM,RS,4,0.0121917040358744,100,NaN,NaN,1,
FM,RS,6,0,100,NaN,NaN,1,
FM,RS,8,0,100,NaN,NaN,1,
FM,RS,10,0,100,NaN,NaN,1,
FM,RS,12,0,100,NaN,NaN,1,
FM,RS,14,0,100,NaN,NaN,1,
FM,LDPC 1/2,0,0.5,17.3913043478261,NaN,NaN,1,
FM,LDPC 1/2,2,0.0448133680555556,91.304347826087,NaN,NaN,1,
FM,LDPC 1/2,4,0.0479910714285714,95.6521739130435,NaN,NaN,1,
FM,LDPC 1/2,6,0.00166015625,100,NaN,NaN,1,
FM,LDPC 1/2,8,0.00029296875,100,NaN,NaN,1,
FM,LDPC 1/2,10,0,100,NaN,NaN,1,
FM,LDPC 1/2,12,0,100,NaN,NaN,1,
FM,LDPC 1/2,14,0,100,NaN,NaN,1,
FM,Turbo 1/2,0,0.5,0,NaN,NaN,1,
FM,Turbo 1/2,2,0.5,0,NaN,NaN,1,
FM,Turbo 1/2,4,0.0551195814648729,95.6521739130435,NaN,NaN,1,
FM,Turbo 1/2,6,0.00249439461883408,100,NaN,NaN,1,
FM,Turbo 1/2,8,0.000140134529147982,100,NaN,NaN,1,
FM,Turbo 1/2,10,0,100,NaN,NaN,1,
FM,Turbo 1/2,12,0,100,NaN,NaN,1,
FM,Turbo 1/2,14,0,100,NaN,NaN,1,
