Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
TM modulation,BPSK conv1/2 @ 4dB,BPSK,convolutional,NRZ-L,4,20000,10,0.1,0,100,30.9124050069515,10.1973441040938,10.1973441040938,3.97118400161371,1e-05,90,1,PASS,,6.0227141
TM modulation,BPSK conv1/2 @ 8dB,BPSK,convolutional,NRZ-L,8,20000,10,0.1,0,100,20.2131242744105,13.8873310772755,13.8873310772755,3.97113783601859,1e-05,90,1,PASS,,5.9314522
TM modulation,BPSK conv1/2 @ 12dB,BPSK,convolutional,NRZ-L,12,20000,10,0.1,0,100,12.9677724580592,17.7426923707729,17.742692370773,3.97112352022349,1e-05,90,1,PASS,,6.063505
TM modulation,QPSK conv1/2 @ 6dB,QPSK,convolutional,NRZ-L,6,20000,10,0.1,0,100,24.689334345806,12.1498123802519,12.1498123802519,3.86520591266272,1e-05,90,1,PASS,,10.0058303
TM modulation,QPSK conv1/2 @ 10dB,QPSK,convolutional,NRZ-L,10,20000,10,0.1,0,100,15.8903046123845,15.9773555483512,15.9773555483512,3.86523555249229,1e-05,90,1,PASS,,10.2210481
TM modulation,QPSK conv1/2 @ 14dB,QPSK,convolutional,NRZ-L,14,20000,10,0.1,0,100,10.3919105230343,19.6660920260749,19.666092026075,3.86518582112445,1e-05,90,1,PASS,,10.0839848
TM modulation,8PSK conv1/2 @ 8dB,8PSK,convolutional,NRZ-L,8,20000,10,0.1,0,100,19.6057608315741,14.1523259914857,14.1523259914857,3.86115371675115,1e-05,90,1,PASS,,19.228239
TM modulation,8PSK conv1/2 @ 12dB,8PSK,convolutional,NRZ-L,12,20000,10,0.1,0,100,12.94337583396,17.7590487626008,17.7590487626008,3.91539646279092,1e-05,90,1,PASS,,37.1407838
TM modulation,8PSK conv1/2 @ 16dB,8PSK,convolutional,NRZ-L,16,20000,10,0.1,0,100,8.44567230789421,21.467315464223,21.4673154642231,3.86531688526413,1e-05,90,1,PASS,,19.2641931
TM modulation,GMSK conv1/2 @ 8dB,GMSK,convolutional,NRZ-L,8,20000,10,0.1,0.5,0,14.568844988354,16.7314975508291,16.7314975508291,0,1e-05,90,1,FAIL,,19.8250008
TM modulation,GMSK conv1/2 @ 12dB,GMSK,convolutional,NRZ-L,12,20000,10,0.1,0,100,9.71874420152063,20.2477969681087,20.2477969681087,0,1e-05,90,1,PASS,,6.1170003
TM modulation,GMSK conv1/2 @ 16dB,GMSK,convolutional,NRZ-L,16,20000,10,0.1,0,100,6.79373614565494,23.3578264843545,23.3578264843545,0,1e-05,90,1,PASS,,6.0657521
TM modulation,16QAM conv1/2 @ 14dB,16QAM,convolutional,NRZ-L,14,20000,10,0.1,0,100,10.6798636526134,19.4425610710822,19.4286858362159,6.12397360723743,1e-05,85,1,PASS,,2.98367
TM modulation,16QAM conv1/2 @ 18dB,16QAM,convolutional,NRZ-L,18,20000,10,0.1,0,100,7.69506561280113,22.3165585557849,22.275753455166,6.08446004354625,1e-05,85,1,PASS,,2.9873455
TM modulation,16QAM conv1/2 @ 22dB,16QAM,convolutional,NRZ-L,22,20000,10,0.1,0,100,5.19212451783327,25.7214946945525,25.6930980161435,6.2565791224657,1e-05,85,1,PASS,,3.0061243
TM modulation,32QAM conv1/2 @ 16dB,32QAM,convolutional,NRZ-L,16,20000,10,0.1,0,100,8.87354568594953,21.0196029727149,21.0380562073092,5.81294554364215,1e-05,85,1,PASS,,2.7689775
TM modulation,32QAM conv1/2 @ 20dB,32QAM,convolutional,NRZ-L,20,20000,10,0.1,0,100,6.44851089040653,23.8536809761588,23.8108112475861,5.77121890750857,1e-05,85,1,PASS,,2.8376104
TM modulation,32QAM conv1/2 @ 24dB,32QAM,convolutional,NRZ-L,24,20000,10,0.1,0,100,5.37525739502267,25.352926529901,25.3920146931344,5.79405170191141,1e-05,85,1,PASS,,2.8481176
