Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
TM modulation,BPSK conv1/2,BPSK,convolutional,NRZ-L,8,20000,10,0.1,0,100,19.7388682340876,14.0935550412115,14.0935550412115,3.97118285516818,1e-05,90,1,PASS,,6.2602058
TM modulation,QPSK conv1/2,QPSK,convolutional,NRZ-L,10,20000,10,0.1,0,100,16.1920796986566,15.8139473440865,15.8139473440865,3.86516624387392,1e-05,90,1,PASS,,10.3523607
TM modulation,8PSK conv1/2,8PSK,convolutional,NRZ-L,12,20000,10,0.1,0,100,12.8302800724602,17.8352772659598,17.8352772659599,3.94028887415726,1e-05,90,1,PASS,,19.1414218
TM modulation,GMSK conv1/2,GMSK,convolutional,NRZ-L,12,20000,10,0.1,0,100,9.84601572369173,20.1347895002372,20.1347895002372,0,1e-05,90,1,PASS,,6.3206362
TM modulation,16QAM conv1/2,16QAM,convolutional,NRZ-L,18,20000,10,0.1,0,100,7.27734664462996,22.7326545817457,22.7605387534208,6.25322369034624,1e-05,85,1,PASS,,3.0517837
TM modulation,32QAM conv1/2,32QAM,convolutional,NRZ-L,20,20000,10,0.1,0,100,6.653614097788,23.5203945920723,23.5388478266667,5.64663460371376,1e-05,85,1,PASS,,2.8380501
PCM format,BPSK none NRZ-L,BPSK,none,NRZ-L,20,20000,10,0.1,0,100,5.80348207898478,24.7262270462413,24.7262270462415,3.97105374263627,0.005,80,1,PASS,,2.2543072
PCM format,BPSK none NRZ-M,BPSK,none,NRZ-M,20,20000,10,0.1,0,100,5.8077827060802,24.7197928162543,24.7197928162545,3.97111358200486,0.005,80,1,PASS,,2.2456564
PCM format,BPSK none NRZ-S,BPSK,none,NRZ-S,20,20000,10,0.1,0,100,5.77683561977634,24.7661998031952,24.7661998031954,3.97131298018311,0.005,80,1,PASS,,2.1787783
PCM format,BPSK convolutional NRZ-L,BPSK,convolutional,NRZ-L,20,20000,10,0.1,0,100,5.71850723305795,24.854346504751,24.8543465047512,3.97119592420653,0.005,80,1,PASS,,6.1387095
PCM format,BPSK convolutional NRZ-M,BPSK,convolutional,NRZ-M,20,20000,10,0.1,0,100,5.79682365479945,24.7361982220561,24.7361982220563,3.97115054751895,0.005,80,1,PASS,,10.7859353
PCM format,BPSK convolutional NRZ-S,BPSK,convolutional,NRZ-S,20,20000,10,0.1,0,100,5.82828207161406,24.6891887564996,24.6891887564998,3.97104147480466,0.005,80,1,PASS,,10.7594745
PCM format,QPSK none NRZ-L,QPSK,none,NRZ-L,20,20000,10,0.1,0,100,5.82526486683337,24.693686461527,24.6936864615272,3.97124221933927,0.005,80,1,PASS,,3.1616829
PCM format,QPSK none NRZ-M,QPSK,none,NRZ-M,20,20000,10,0.1,0,100,5.69850621297002,24.8847794777307,24.884779477731,3.97126771268285,0.005,80,1,PASS,,3.1796309
PCM format,QPSK none NRZ-S,QPSK,none,NRZ-S,20,20000,10,0.1,0,100,5.73888255733169,24.8234532545802,24.8234532545805,3.97126346525723,0.005,80,1,PASS,,3.1174525
PCM format,QPSK convolutional NRZ-L,QPSK,convolutional,NRZ-L,20,20000,10,0.1,0,100,5.73763349917863,24.825343929635,24.8253439296353,3.86522671913324,0.005,80,1,PASS,,10.3889357
PCM format,QPSK convolutional NRZ-M,QPSK,convolutional,NRZ-M,20,20000,10,0.1,6.85102142501246e-05,100,5.80657089967692,24.7216053349836,24.7216053349839,3.86510656352426,0.005,80,1,PASS,,74.6649381
PCM format,QPSK convolutional NRZ-S,QPSK,convolutional,NRZ-S,20,20000,10,0.1,0.000100306820863819,100,5.76543427016704,24.7833594949343,24.7833594949346,3.86516179464218,0.005,80,1,PASS,,75.4436881
PCM format,8PSK none NRZ-L,8PSK,none,NRZ-L,20,20000,10,0.1,0,100,5.75530109708007,24.798639013647,24.7986390136473,3.89594323439917,0.005,80,1,PASS,,10.6521043
PCM format,8PSK none NRZ-M,8PSK,none,NRZ-M,20,20000,10,0.1,0,100,5.78537006415083,24.7533771191073,24.7533771191076,3.78605539230633,0.005,80,1,PASS,,10.5841936
PCM format,8PSK none NRZ-S,8PSK,none,NRZ-S,20,20000,10,0.1,0,100,5.73381028845512,24.8311336084674,24.8311336084676,3.87773381996034,0.005,80,1,PASS,,5.5915134
PCM format,8PSK convolutional NRZ-L,8PSK,convolutional,NRZ-L,20,20000,10,0.1,0,100,5.7525186254566,24.8028393300399,24.8028393300401,3.8395482520828,0.005,80,1,PASS,,37.3818462
PCM format,8PSK convolutional NRZ-M,8PSK,convolutional,NRZ-M,20,20000,10,0.1,0,100,5.76533575790627,24.7835079094154,24.7835079094156,3.84354259550028,0.005,80,1,PASS,,73.7759697
PCM format,8PSK convolutional NRZ-S,8PSK,convolutional,NRZ-S,20,20000,10,0.1,0,100,5.7805094220449,24.760677731817,24.7606777318173,3.91530826507759,0.005,80,1,PASS,,37.2301812
Coding,8PSK uncoded,8PSK,none,NRZ-L,16,20000,10,0.1,0,100,8.4254164001673,21.4881725252721,21.4881725252723,3.83493109348841,0.0001,90,1,PASS,,5.5708915
Coding,8PSK conv1/2,8PSK,convolutional,NRZ-L,10,20000,10,0.1,0,100,16.180160551101,15.8203434664511,15.8203434664511,3.8955254690167,1e-05,90,1,PASS,,19.2206008
Coding,8PSK RS,8PSK,RS,NRZ-L,14,20000,10,0.1,0,100,10.2949894401507,19.7474818902664,19.7474818902665,3.88118553999374,0.0001,80,1,PASS,,0.6160856
Coding,8PSK LDPC1/2,8PSK,LDPC,NRZ-L,8,20000,10,0.1,0.00282118055555556,95.8333333333333,20.0642102086107,13.9515586162285,13.9515586162285,3.74421569927089,0.0001,80,1,WARN,,6.1419026
Coding,8PSK Turbo1/2,8PSK,Turbo,NRZ-L,12,20000,10,0.1,0,95.6521739130435,12.8851338270209,17.7982213287809,17.7982213287809,3.74142603659271,0.0001,80,1,PASS,,10.0564835
Coding,BPSK TPC,BPSK,TPC,NRZ-L,12,20000,10,0.1,0,100,13.6384783415009,17.3046816328193,17.3046816328193,3.97184443133958,0.0001,80,1,PASS,,4.5694704
Extension modulation,UQPSK conv1/2,UQPSK,convolutional,NRZ-L,18,50000,10,0.1,0,100,4.90708697669677,26.1835248841363,26.1835248841367,3.82054421061095,0.0001,80,1,PASS,,6.1710578
Extension modulation,FM conv1/2,FM,convolutional,NRZ-L,8,2000000,10,0.1,0,100,NaN,NaN,NaN,0,0.0001,80,1,PASS,,8.6371268
FACM APSK,16APSK ACM14,16APSK,none,NRZ-L,22,20000,10,0.1,0,100,8.54369642009558,21.7812077851199,21.367083833229,4.92223652484544,0.0001,80,1,PASS,,76.1841549
FACM APSK,32APSK ACM21,32APSK,none,NRZ-L,26,20000,10,0.1,0,100,6.00230364611723,25.6548547040537,24.4336407630366,5.83966923907207,0.001,70,1,PASS,,89.9422196
