Modulation,Note,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,TM convolutional 1/2,22,0,3.03754991478623,30.3495315351103,100,1,
BPSK,TM convolutional 1/2,24,0,2.52938476628772,31.939702027857,100,1,
BPSK,TM convolutional 1/2,26,0,2.13089731110838,33.4287495725233,100,1,
QPSK,TM convolutional 1/2,22,0,3.010900564982,30.42607173659,100,1,
QPSK,TM convolutional 1/2,24,0,2.47990422284805,32.1113018374403,100,1,
QPSK,TM convolutional 1/2,26,0,2.04335174989414,33.7931373184629,100,1,
8PSK,TM convolutional 1/2,22,0,2.95747105850777,30.5815899327612,100,1,
8PSK,TM convolutional 1/2,24,0,2.44783574790481,32.2243545423891,100,1,
8PSK,TM convolutional 1/2,26,0,2.06667900998424,33.6945394274707,100,1,
GMSK,TM convolutional 1/2,22,0,4.23659226181097,27.4596666273036,100,1,
GMSK,TM convolutional 1/2,24,0,3.98911617634313,27.9824663080973,100,1,
GMSK,TM convolutional 1/2,26,0,3.86841575949726,28.2493371222247,100,1,
16APSK,FACM ACM14,22,0,8.5993476596587,22.0018553204942,100,1,
16APSK,FACM ACM14,24,0,7.00032967245594,23.9742417623783,100,1,
16APSK,FACM ACM14,26,0,5.75876208222523,25.9294468449734,100,1,
