Category,Name,Note,Modulation,Coding,PCMFormat,HScenario,EnableHChannel,EnableEqualizer,HNumTaps,HEffectiveTaps,HRelEchoPower_dB,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,8,20000,10,0.1,0,100,19.8262283484005,14.0551979229247,14.0551979229247,3.84313548261712,0.0001,85,1,PASS,,39.7543715
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,8,20000,10,0.1,0,100,25.4647394867419,11.8812152490132,11.8812152490132,3.84303687563892,0.0001,85,1,PASS,,20.2311752
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,8,20000,10,0.1,0,100,21.0526659839953,13.5338579976826,13.5338579976826,3.81109711340105,0.0001,85,1,PASS,,19.9895994
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,8,20000,10,0.1,0,100,29.1289836112435,10.7134933762619,10.7134933762619,3.82411541543652,0.0001,85,1,PASS,,20.1749196
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,8,20000,10,0.1,0.5,0,30.951063504105,10.1864884734078,10.1864884734078,3.84318502625208,0.0001,85,1,FAIL,,155.9642835
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,12,20000,10,0.1,0,100,12.8560972325588,17.8178170319818,17.8178170319819,3.8667514599985,0.0001,85,1,PASS,,20.3782261
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,12,20000,10,0.1,0,100,21.2527519021014,13.451696551315,13.451696551315,3.84997125057302,0.0001,85,1,PASS,,20.0561978
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,12,20000,10,0.1,0,100,14.0027270253159,17.0757475482707,17.0757475482707,3.86710069780906,0.0001,85,1,PASS,,20.37021
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,12,20000,10,0.1,0,100,26.0284106199228,11.6910470105171,11.6910470105171,3.90331214538345,0.0001,85,1,PASS,,20.1111499
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,12,20000,10,0.1,0,100,14.5591875226463,16.7372572041365,16.7372572041365,3.78887863284678,0.0001,85,1,PASS,,20.305271
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.34195747740638,21.5746405654565,21.5746405654566,3.82395070485214,0.0001,85,1,PASS,,20.1299777
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,18.9905449312579,14.4292514611914,14.4292514611914,3.84549285050502,0.0001,85,1,PASS,,20.1949234
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,8.98174926397163,20.9327814588426,20.9327814588427,3.81109403001832,0.0001,85,1,PASS,,39.1680418
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,24.6321039064535,12.169969842032,12.169969842032,3.86537341826175,0.0001,85,1,PASS,,20.253941
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,9.34771605348047,20.5858897644483,20.5858897644484,3.82318647528132,0.0001,85,1,PASS,,39.19565
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,100,5.73937296554992,24.822711045687,24.8227110456873,3.79295162950256,0.0001,85,1,PASS,,39.814136
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,20,20000,10,0.1,0,100,17.8580741581978,14.9633075579578,14.9633075579578,3.87617319728258,0.0001,85,1,PASS,,19.9308701
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,100,6.01648762171826,24.4131394495265,24.4131394495268,3.84565508908379,0.0001,85,1,PASS,,39.7858834
Boundary modulation,TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,20,20000,10,0.1,0,100,23.8722257685969,12.4421417380425,12.4421417380425,3.83077734212098,0.0001,85,1,PASS,,20.0843084
