Category,Name,Note,Modulation,Coding,PCMFormat,HScenario,EnableHChannel,EnableEqualizer,HNumTaps,HEffectiveTaps,HRelEchoPower_dB,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.4479439152694,21.464979560433,21.4649795604332,3.97096435449125,1e-05,90,1,PASS,,6.4437354
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,16,20000,10,0.1,0,100,10.128223767198,19.8893342433239,19.8893342433239,3.97104475702123,1e-05,90,1,PASS,,6.392847
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,16,20000,10,0.1,0,100,8.71045342841924,21.1991847383429,21.199184738343,3.9712050492073,1e-05,90,1,PASS,,6.5343532
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,18.9601410172108,14.4431687378823,14.4431687378823,3.97115251954779,1e-05,90,1,PASS,,6.7374344
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,9.00984702246664,20.9056516562513,20.9056516562514,3.9711680133011,1e-05,90,1,PASS,,6.6442418
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,24.6126112943877,12.1768461407501,12.1768461407501,3.97102322845556,1e-05,90,1,PASS,,6.5242505
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,9.4339021071126,20.5061726923159,20.5061726923159,3.9712264092955,1e-05,90,1,PASS,,6.6708755
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.48315720158346,21.4288497000523,21.4288497000524,3.86522545616617,1e-05,90,1,PASS,,11.0600172
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,16,20000,10,0.1,0,100,10.0450930255556,19.9609207396916,19.9609207396916,3.86519573127032,1e-05,90,1,PASS,,10.7600516
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,16,20000,10,0.1,0,100,8.52138858762464,21.389792595733,21.3897925957331,3.86519453918827,1e-05,90,1,PASS,,10.676491
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,18.7772021268486,14.5273823749375,14.5273823749376,3.86521338443384,1e-05,90,1,PASS,,10.6950305
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,9.02744296296452,20.8887049368883,20.8887049368884,3.86510562993841,1e-05,90,1,PASS,,10.6502814
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,24.6838368919397,12.1517466403601,12.1517466403601,3.86516111056388,1e-05,90,1,PASS,,10.5857636
TM modulation,QPSK TM conv1/2,convolutional,QPSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,9.57953679178014,20.373109805146,20.3731098051461,3.86508220196244,1e-05,90,1,PASS,,10.6601609
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,18,20000,10,0.1,0,100,6.93165725550523,23.1832583932615,23.1832583932617,3.84552013965988,1e-05,90,1,PASS,,20.0781367
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,18,20000,10,0.1,0,100,8.80727757889206,21.1031663157122,21.1031663157123,3.87794399481395,1e-05,90,1,PASS,,20.1822504
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,18,20000,10,0.1,0,100,6.97580683634167,23.1281110749052,23.1281110749054,3.88273821450693,1e-05,90,1,PASS,,39.633482
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,18,20000,10,0.1,0,100,18.2065729291897,14.7954358979533,14.7954358979533,3.82396855564518,1e-05,90,1,PASS,,20.0551985
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,18,20000,10,0.1,0,100,7.30425928125213,22.7284763786468,22.7284763786469,3.8394409473215,1e-05,90,1,PASS,,39.6261576
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,18,20000,10,0.1,0,100,24.1732131709004,12.3333123624362,12.3333123624362,3.80547332445738,1e-05,90,1,PASS,,20.069492
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,18,20000,10,0.1,0,100,7.65515028945462,22.3209255722336,22.3209255722337,3.84562427767397,1e-05,90,1,PASS,,39.6799871
TM modulation,GMSK TM conv1/2,convolutional,GMSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,18,20000,10,0.1,0,100,5.90595137815373,24.5742026553309,24.5742026553309,0,1e-05,90,1,PASS,,6.4006457
TM modulation,GMSK TM conv1/2,convolutional,GMSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,18,20000,10,0.1,0,100,6.86336320814099,23.2692603540602,23.2692603540602,0,1e-05,90,1,PASS,,6.4773879
TM modulation,GMSK TM conv1/2,convolutional,GMSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,18,20000,10,0.1,0,100,5.96010028200161,24.4949286590424,24.4949286590424,0,1e-05,90,1,PASS,,6.4122615
