Category,Name,Note,Modulation,Coding,PCMFormat,HScenario,EnableHChannel,EnableEqualizer,HNumTaps,HEffectiveTaps,HRelEchoPower_dB,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.43856448335181,21.4746285319029,21.474628531903,3.97114488308159,1e-05,90,1,PASS,,6.4058175
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,16,20000,10,0.1,0,100,10.0886784314033,19.923314410722,19.9233144107221,3.97110746601423,1e-05,90,1,PASS,,6.543286
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,16,20000,10,0.1,0,100,8.56894581297312,21.3414520697493,21.3414520697494,3.97100095610774,1e-05,90,1,PASS,,6.679759
TM modulation,BPSK TM conv1/2,convolutional,BPSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,9.00874299543902,20.9067160521803,20.9067160521804,3.97110949342964,1e-05,90,1,PASS,,6.5322164
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,18,20000,10,0.1,0,100,6.96743944861589,23.1385359377505,23.1385359377506,3.94028343667034,1e-05,90,1,PASS,,39.5969888
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,18,20000,10,0.1,0,100,8.78637623135914,21.1238040849129,21.123804084913,3.82774548230976,1e-05,90,1,PASS,,20.4140204
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,18,20000,10,0.1,0,100,6.98947340127765,23.11111087002,23.1111108700201,3.82146995796766,1e-05,90,1,PASS,,39.643847
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,18,20000,10,0.1,0,100,7.27966961550102,22.7577666099499,22.7577666099501,3.82506867756257,1e-05,90,1,PASS,,20.7800269
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,22,20000,10,0.1,0,100,5.11114221368775,25.8635566092445,25.8296406991868,6.14665547906907,1e-05,85,1,PASS,,3.0783901
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,22,20000,10,0.1,0,100,7.89154931703895,22.0015097923284,22.0567545016254,6.26979824875617,1e-05,85,1,PASS,,3.1304193
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,22,20000,10,0.1,0,100,5.55370288665189,25.1145965012147,25.1083471591228,6.09251043225453,1e-05,85,1,PASS,,3.1610625
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,22,20000,10,0.1,0,100,5.55998122254917,25.0566398194968,25.0985335027367,6.1412929362639,1e-05,85,1,PASS,,3.1929226
Coding,8PSK none,none,8PSK,none,NRZ-L,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,100,5.75899544235169,24.7930653033807,24.793065303381,3.82777216787735,0.0001,90,1,PASS,,6.678588
Coding,8PSK none,none,8PSK,none,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,20,20000,10,0.1,0,100,7.88989492096038,22.0585756152816,22.0585756152817,3.75576332050196,0.0001,90,1,PASS,,6.8095847
Coding,8PSK none,none,8PSK,none,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,20,20000,10,0.1,0,100,5.78334216077257,24.7564222540849,24.7564222540851,3.80851620496941,0.0001,90,1,PASS,,12.9338543
Coding,8PSK none,none,8PSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,100,6.00695995545801,24.4269052641044,24.4269052641046,3.78920210984094,0.0001,90,1,PASS,,13.0491293
Coding,8PSK conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,18,20000,10,0.1,0,100,6.92219681788561,23.1951211326016,23.1951211326018,3.83831591468176,1e-05,90,1,PASS,,39.8922754
Coding,8PSK conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,18,20000,10,0.1,0,100,8.64140339985284,21.268314411261,21.2683144112611,3.90290108442752,1e-05,90,1,PASS,,20.5241705
Coding,8PSK conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,18,20000,10,0.1,0,100,7.00421534197547,23.0928102032451,23.0928102032452,3.86542689370303,1e-05,90,1,PASS,,20.0358741
Coding,8PSK conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,18,20000,10,0.1,0,100,7.17127622743509,22.8880709753166,22.8880709753167,3.84004435350598,1e-05,90,1,PASS,,39.8983786
Coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,90,5.82656921967334,24.6917417951714,24.6917417951717,3.77211513694014,0.0001,80,1,PASS,,5.3236641
Coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,20,20000,10,0.1,0,95,7.78477511583031,22.1750785735795,22.1750785735797,3.69088847032147,0.0001,80,1,PASS,,5.2809906
Coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,20,20000,10,0.1,0,90,5.78223473954368,24.7580856278516,24.7580856278518,3.77917832666365,0.0001,80,1,PASS,,5.2709566
Coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,95,5.99054140601862,24.4506785137464,24.4506785137466,3.80187453960451,0.0001,80,1,PASS,,5.2688352
Coding,BPSK TPC,TPC,BPSK,TPC,NRZ-L,"clean",0,0,1,1,-Inf,18,20000,10,0.1,0,100,7.37528969857722,22.6444183218501,22.6444183218502,3.971673468006,0.0001,80,1,PASS,,5.099114
Coding,BPSK TPC,TPC,BPSK,TPC,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,18,20000,10,0.1,0,100,8.09455282390117,21.8361427689135,21.8361427689136,3.97196736434079,0.0001,80,1,PASS,,4.8875667
Coding,BPSK TPC,TPC,BPSK,TPC,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,18,20000,10,0.1,0,100,7.37500557667932,22.6447529390768,22.6447529390769,3.97194670580907,0.0001,80,1,PASS,,4.8787226
Coding,BPSK TPC,TPC,BPSK,TPC,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,18,20000,10,0.1,0,100,7.75350326525428,22.2100405176189,22.210040517619,3.97171104130267,0.0001,80,1,PASS,,4.8969655
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,24,20000,10,0.1,0,100,7.32305769069977,23.8358532836915,22.7061508899685,4.92181321094332,0.0001,80,1,PASS,,89.040179
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,24,20000,10,0.1,0,100,7.1790574931128,23.5187772093861,22.8786513725589,4.92181321094332,0.0001,80,1,PASS,,91.6821388
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,24,20000,10,0.1,0,100,7.18106874900653,23.9770098667532,22.8762183094303,4.92181321094332,0.0001,80,1,PASS,,88.0185019
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,24,20000,10,0.1,0,100,7.00200748909758,23.8373932028544,23.0955485812968,4.92181321094332,0.0001,80,1,PASS,,89.7530345
