Modulation,TPCCodeRate,TPCBlocksPerTF,Note,InputSNR_dB,BER,FER,EVM_post_pct,SNR_est_dB,LockRate_pct,AcquisitionFrames,NumBytesInTransferFrame,Success,ErrorMsg
32QAM,2/3,1,"VALID TPC: 2/3, N=1",0,0.482618343195266,1,20.0098072004168,13.7702614611544,70,6,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",2,0.5,NaN,19.369455610561,14.1925430664726,80,NaN,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",4,0.5,NaN,18.5561213771514,14.681717703416,80,NaN,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",6,0.195636094674556,1,17.4689571686921,15.2971768656364,72.7272727272727,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",8,0.000277366863905325,0.375,15.2220800135793,16.5855138066066,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",10,0,0,13.5982764282517,17.5600471428586,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",12,0,0,11.8429886965211,18.9336316939264,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",14,0,0,11.0593460087737,19.587708543976,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",16,0,0,9.67880161056455,20.7305334095164,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",18,0,0,9.11798740692453,21.2455360151078,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",20,0,0,9.46594261107409,20.9352702732264,100,4,338,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",0,0.5,NaN,19.7355764609973,13.9361344079462,100,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",2,0.5,NaN,18.9685360050308,14.4061912908608,70,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",4,0.496851851851852,1,18.8554873445703,14.4999219794745,100,8,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",6,0.4975,1,18.2903798488572,14.8805432781569,100,6,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",8,0.50358024691358,1,17.4371676294295,15.4636694641525,100,6,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",10,0.500172839506173,1,16.7756111794583,15.9219387848793,100,4,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",12,0.496836419753086,1,15.5441380990739,16.7492813649767,100,4,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",14,0.00367626886145405,0.666666666666667,14.7434765326528,17.309563596759,90.9090909090909,3,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",16,2.74348422496571e-05,0.222222222222222,14.0954904281342,17.7507392764828,90.9090909090909,3,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",18,0,0,13.7370389572616,18.006357076061,90.9090909090909,3,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",20,0,0,13.9450289965042,17.8787440138926,90.9090909090909,3,2025,1,
