SNR_dB,CFO_Hz,BER,FrameLock_pct,DetectedFMFrames,TotalFMFrames,Success,ErrorMsg
0,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
2,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
4,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
6,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
8,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
10,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
12,0,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
0,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
2,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
4,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
6,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
8,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
10,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
12,2000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
0,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
2,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
4,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
6,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
8,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
10,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
12,5000000,NaN,NaN,NaN,NaN,0,此类型的变量不支持使用点进行索引。
