Mod,CodingName,ChannelCoding,ConvRate,BER,LockRate,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,ResidualCFO_Hz,TMAPSKPilotsApplied,TMAPSKPilotCFO_Hz
QPSK,none,none,,0.000107578022376229,1,0.0909090909090909,99,140,3.03981181355688,30.3430660308745,0.00734038041593237,0,NaN
QPSK,RS,RS,,0,1,0,99,140,3.09212397210866,30.1948620458932,0.0148498410687774,0,NaN
QPSK,conv_1_2,convolutional,1/2,0.00206554456661957,0.817518248175182,0.0273972602739726,73,112,100,-1.92865493310657e-15,-0,0,NaN
QPSK,conv_3_4,convolutional,3/4,0.5,0.511111111111111,NaN,0,69,1.68032721145368,35.4921227905823,0.00199239833218853,0,NaN
QPSK,conv_7_8,convolutional,7/8,0.000266223572720346,1,0.0515463917525773,97,138,3.17711259845248,29.9593478657482,-0.00883863649420332,0,NaN
8PSK,none,none,,0.000334058069484078,1,0.141414141414141,99,140,2.17305164563733,33.2585990387181,-0.00158813679305737,0,NaN
8PSK,RS,RS,,0,1,0,98,139,3.84957325589911,28.2917482299875,0.0160454788591287,0,NaN
8PSK,conv_1_2,convolutional,1/2,0.000147935832832509,1,0.0412371134020619,97,136,1.6980543154446,35.4009684429649,-0.000460840148963635,0,NaN
8PSK,conv_3_4,convolutional,3/4,0.00046711509715994,1,0.0625,96,135,2.30868418227339,32.7327094514599,0.0037160337831423,0,NaN
8PSK,conv_7_8,convolutional,7/8,0.000950142750915717,1,0.0824742268041237,97,136,2.21860679829168,33.0783932114535,-0.0130626386989853,0,NaN
16APSK,none,none,,0.00865318841681234,1,0.135593220338983,59,139,3.01455020599115,30.4155495751442,-0.081930068101521,1,-0.000847872629033199
16APSK,RS,RS,,0,1,0,98,139,2.57850422815419,31.7726430422713,0.0730429247763918,1,-0.0148637089792058
16APSK,conv_1_2,convolutional,1/2,0.000277438057707116,1,0.0505050505050505,99,138,6.5211081055785,23.7135720017792,0.790869243484036,1,-0.000198142194842648
16APSK,conv_3_4,convolutional,3/4,0.00095349267255328,1,0.103092783505155,97,136,2.75024439997491,31.2125742190731,-0.24332757275054,1,-0.000430706263438267
16APSK,conv_7_8,convolutional,7/8,0.00156406348973203,1,0.0927835051546392,97,136,2.84891331554355,30.9064152984946,0.0412764531092178,1,-0.00102768668060717
