Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,none,NRZ-L,20,20000,10,0.1,0,5.82967538427617,24.6871125505917,100,1,
BPSK,none,NRZ-M,20,20000,10,0.1,0,5.76131122719679,24.7895732692816,100,1,
BPSK,none,NRZ-S,20,20000,10,0.1,0,5.72824710597713,24.8395651127204,100,1,
BPSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.75475984674628,24.7994559060496,100,1,
BPSK,convolutional,NRZ-M,20,20000,10,0.1,0,5.79736518979843,24.7353868305387,100,1,
BPSK,convolutional,NRZ-S,20,20000,10,0.1,0,5.81233881646426,24.7129815494485,100,1,
QPSK,none,NRZ-L,20,20000,10,0.1,0,5.76594614722775,24.7825883630317,100,1,
QPSK,none,NRZ-M,20,20000,10,0.1,0,5.7898803690845,24.7466081920597,100,1,
QPSK,none,NRZ-S,20,20000,10,0.1,0,5.74764221206272,24.8102054863408,100,1,
QPSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.8120873813415,24.7133572992173,100,1,
QPSK,convolutional,NRZ-M,20,20000,10,0.1,0.5,5.7143184849116,24.8607111615115,100,1,
QPSK,convolutional,NRZ-S,20,20000,10,0.1,0.5,5.79957881953145,24.7320708976897,0,1,
8PSK,none,NRZ-L,20,20000,10,0.1,0,5.73993419459065,24.821861730751,100,1,
8PSK,none,NRZ-M,20,20000,10,0.1,0,5.74064702229181,24.8207831193751,100,1,
8PSK,none,NRZ-S,20,20000,10,0.1,0,5.80659366076121,24.7215712873707,100,1,
8PSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.7892107309657,24.7476128309823,100,1,
8PSK,convolutional,NRZ-M,20,20000,10,0.1,0.5,5.76088047992378,24.7902226983785,0,1,
8PSK,convolutional,NRZ-S,20,20000,10,0.1,0.5,5.78863017746598,24.7484839128484,0,1,
