mod,stage,ifmhz,snr,ber,evm,mer,snrest,lock,recovery
8PSK,Clean,1000.0,0.0,0.5,42.517,7.4287,7.4287,0.0,none
8PSK,Recovered,1000.0,0.0,0.5,47.754,6.4198,6.4198,0.0,known-H MMSE
8PSK,Clean,1000.0,2.0,0.5,46.221,6.7032,6.7032,0.0,none
8PSK,Recovered,1000.0,2.0,0.5,31.124,10.138,10.138,0.0,known-H MMSE
8PSK,Clean,1000.0,4.0,0.0,21.713,13.266,13.266,100.0,none
8PSK,Recovered,1000.0,4.0,0.0,22.125,13.102,13.102,100.0,known-H MMSE
8PSK,Clean,1000.0,6.0,0.0,17.61,15.085,15.085,100.0,none
8PSK,Recovered,1000.0,6.0,0.0,17.824,14.98,14.98,100.0,known-H MMSE
8PSK,Clean,1000.0,8.0,0.0,14.03,17.059,17.059,100.0,none
8PSK,Recovered,1000.0,8.0,0.0,14.253,16.922,16.922,100.0,known-H MMSE
8PSK,Clean,1000.0,10.0,0.0,11.139,19.063,19.063,100.0,none
8PSK,Recovered,1000.0,10.0,0.0,11.384,18.874,18.874,100.0,known-H MMSE
8PSK,Clean,1000.0,12.0,0.0,8.9153,20.997,20.997,100.0,none
8PSK,Recovered,1000.0,12.0,0.0,9.1016,20.818,20.818,100.0,known-H MMSE
8PSK,Clean,1000.0,14.0,0.0,7.1755,22.883,22.883,100.0,none
8PSK,Recovered,1000.0,14.0,0.0,7.4199,22.592,22.592,100.0,known-H MMSE
