CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,57,59,1.5377518451862,36.2622748636657,36.2622748636617,0.00470786453637449,0,NaN,NaN,1,OK,,4.5045807
2,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,56,58,1.5184613523855,36.3719251438548,36.3719251438507,0.00318114995594583,0,NaN,NaN,1,OK,,5.9339736
3,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,56,58,1.53061763887207,36.302665723167,36.302665723163,-0.000534740111178029,0,NaN,NaN,1,OK,,3.5459644
4,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.51624543193693,36.3846098908512,36.3846098908471,-0.00674215463876542,0,NaN,NaN,1,OK,,14.0154846
5,NoH_baseline,QPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.54248799104793,36.2355641691283,36.2355641691244,0.00426638340332654,0,NaN,NaN,1,OK,,5.2067154
6,NoH_baseline,QPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.5114538027681,36.4121024478509,36.4121024478468,-0.00433238404652309,0,NaN,NaN,1,OK,,27.6634718
7,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,57,59,1.54184787791846,36.2391694522845,36.2391694522806,-0.013830694335622,0,NaN,NaN,1,OK,,5.6202497
8,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.50468445862319,36.4510912937161,36.451091293712,-8.77505978143016e-05,0,NaN,NaN,1,OK,,4.8879926
9,NoH_baseline,8PSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.48452186750343,36.5682680143579,36.5682680143537,-0.00260556475895433,0,NaN,NaN,1,OK,,3.4814185
10,NoH_baseline,8PSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.50699063731092,36.437788917567,36.4377889175629,-0.00511151055015706,0,NaN,NaN,1,OK,,11.5606917
