CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744322673128,28.5951131071254,28.5951131071254,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.8655335
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467815930106,28.5549363624442,28.5549363624442,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,4.2547936
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758602788259,28.5249677779679,28.5249677779679,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.6032421
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892428481,28.5223192574194,28.5223192574194,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.3960155
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312762717,28.5326727774121,28.5326727774121,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.3747777
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932328329752,28.5209422233157,28.5209422233157,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.1990209
7,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,44,0.00297333333333333,0.130826666666667,0.121906666666667,1.52991527223014,36.3066524009265,36.3066524009225,0.00508399925390242,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.6268127
8,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.00594666666666667,0.24976,0.237866666666667,1.54094107157203,36.2442793837163,36.2442793837124,0.00421757940104268,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.5852442
9,NoH_baseline,8PSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.00446,0.18732,0.1784,1.54759451326722,36.2068563733036,36.2068563732997,-0.00543802667769569,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.7853881
10,NoH_baseline,8PSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.00396444444444444,0.166506666666667,0.158577777777778,1.50255595427383,36.4633869232113,36.4633869232072,0.00638024220585024,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.6874463
