CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,32,34,0.00892,0.30328,0.28544,3.74092166015418,28.5404277281448,28.5404277281448,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.5332042
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,31,33,0.01784,0.58872,0.55304,3.73356189375775,28.5575328937071,28.5575328937071,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.6478902
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,31,33,0.01338,0.44154,0.41478,3.73366361295953,28.5572962538038,28.5572962538038,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.1152864
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,31,33,0.0118933333333333,0.39248,0.368693333333333,3.70973006033561,28.6131538161726,28.6131538161726,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.0971642
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,31,33,0.0107136,0.3535488,0.3321216,3.75191451790803,28.5149412993762,28.5149412993762,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.0262682
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,31,33,0.0102674285714286,0.338825142857143,0.318290285714286,3.73316734680138,28.5584508301189,28.5584508301189,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,2.8952268
7,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.0230801569506726,52.9411764705882,0.0625,16,18,0.00892,0.16056,0.14272,3.93872861262877,28.0928788407766,28.0928788407766,NaN,17.799279227477,1.92865493310657e-15,6.97345144328434,wrap,10,0.31332,0,afterChannel,mmse,1,OK,,3.7190511
8,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0421823617339312,96.969696969697,0.2,30,32,0.01784,0.57088,0.5352,4.12931060639523,27.6824489660468,27.6824489660468,NaN,17.7392844504625,1.92865493310657e-15,6.84009342378996,wrap,10,0.62664,0,afterChannel,mmse,1,OK,,5.7485835
9,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.0406894618834081,84.6153846153846,0.1,20,22,0.01338,0.29436,0.2676,3.80559012192168,28.3915597774876,28.3915597774876,NaN,17.5258051929393,1.92865493310657e-15,6.62827398975359,wrap,10,0.46998,0,afterChannel,mmse,1,OK,,4.7943421
10,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0595459641255605,66.6666666666667,0.2,20,22,0.0118933333333333,0.261653333333333,0.237866666666667,3.82337661725032,28.351058404058,28.351058404058,NaN,17.5784693842328,1.92865493310657e-15,6.67774458392424,wrap,10,0.41776,0,afterChannel,mmse,1,OK,,4.7098397
11,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.0195578968666898,100,0.0967741935483871,31,33,0.0107136,0.3535488,0.3321216,4.36173503541113,27.20681440538,27.20681440538,NaN,17.5856904556872,1.92865493310657e-15,6.67176196092827,wrap,10,0.37632,0,afterChannel,mmse,1,OK,,4.5007425
12,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.00228389564987962,87.8787878787879,0.0740740740740741,27,29,0.0102674285714286,0.297755428571429,0.277220571428571,3.84057358636413,28.3120781856177,28.3120781856177,NaN,17.6935691476179,1.92865493310657e-15,6.77138972476922,wrap,10,0.36064,0,afterChannel,mmse,1,OK,,3.7755069
