CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,BPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,24,0.000446,0.010704,0.009812,1.16471175413078,38.6756308331803,38.6756308331733,-3.45652469484346e-16,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.2437123
2,NoH_baseline,BPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,21,23,0.000892,0.020516,0.018732,1.14844464866949,38.797798631176,38.7977986311688,-1.83633838616691e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.7686573
3,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,24,0.000223,0.005352,0.004906,1.02110042681411,39.8186308455028,39.8186308454937,-0.0427951032130343,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.3567518
4,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,21,23,0.000446,0.010258,0.009366,1.03133836024713,39.7319765705598,39.7319765705509,-0.0207519597985807,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.7972717
5,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,95.8333333333333,0,21,23,0.000148666666666667,0.00341933333333333,0.003122,1.02083583994731,39.8208818191252,39.8208818191161,0.100263731920234,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.5739374
6,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,20,22,0.000297333333333333,0.00654133333333333,0.00594666666666667,1.02617068409484,39.775607930773,39.775607930764,0.0636297016379546,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.0932371
7,NoH_baseline,16QAM,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,21,24,0.0001115,0.002676,0.0023415,2.63924967679948,31.5703904591295,31.5710852747155,5.04687030480799,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.1431644
8,NoH_baseline,16QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,21,23,0.000223,0.005129,0.004683,3.04164485576631,30.3378299160156,30.3889483551756,4.52596639953755,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.4553584
9,NoH_baseline,32QAM,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,21,24,8.92e-05,0.0021408,0.0018732,2.64427917588146,31.5538539024553,31.5743043767581,14.1165213308237,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,0.8899108
10,NoH_baseline,32QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,20,22,0.0001784,0.0039248,0.003568,3.60856308476762,28.8533139595924,28.8944632330381,4.23495370884586,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.3519774
