CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,117,119,0.000446,0.053074,0.052182,3.75401595269643,28.5100777235139,28.5100777235139,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.1407342
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000892,0.105256,0.103472,3.719156757819,28.5911103256893,28.5911103256893,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,7.0171653
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000669,0.078942,0.077604,3.73649276850605,28.5507170785454,28.5507170785454,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.5152552
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.72533825065772,28.5766857671735,28.5766857671735,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.0771801
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.74610868473634,28.5283925344289,28.5283925344289,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.8999906
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.74214161764172,28.537595621613,28.537595621613,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.612794
7,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.00906921927101299,100,0.0341880341880342,117,119,0.000446,0.053074,0.052182,3.69909379823514,28.6380931220594,28.6380931220594,NaN,17.4894053117757,1.92865493310657e-15,6.66015166992406,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.8813986
8,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.00394033924741665,99.1525423728814,0.0347826086956522,115,117,0.000892,0.104364,0.10258,3.82072512114256,28.3570841227833,28.3570841227833,NaN,18.1884339412883,1.92865493310657e-15,7.30169928006825,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,11.7332636
9,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.00441568733570435,100,0.0258620689655172,116,118,0.000669,0.078942,0.077604,3.7944930824883,28.4169246914585,28.4169246914585,NaN,18.2730120371671,1.92865493310657e-15,7.3134747697798,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,9.1615488
10,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.00863421988557291,100,0.0344827586206897,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,4.19976046599233,27.535509579015,27.535509579015,NaN,17.9315513439154,1.92865493310657e-15,7.03915742875467,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,8.4776187
11,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.00384300457298233,100,0.0258620689655172,116,118,0.00053568,0.06321024,0.06213888,3.72800750976161,28.5704644293399,28.5704644293399,NaN,18.0797076701119,1.92865493310657e-15,7.158258909832,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8827105
12,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.00377203150428348,100,0.0258620689655172,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.67542564558445,28.6938471733685,28.6938471733685,NaN,18.0086313438575,1.92865493310657e-15,7.09424772829335,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.506445
