CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,4,5,0.000446,0.00223,0.001784,3.75198935365728,28.5147680522051,28.5147680522051,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.885341
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,3,4,0.000892,0.003568,0.002676,3.73904214507447,28.544792792288,28.544792792288,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.3464311
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,3,4,0.000669,0.002676,0.002007,3.72098701444147,28.5868369116695,28.5868369116695,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.038338
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,3,4,0.000594666666666667,0.00237866666666667,0.001784,3.71762751668014,28.5946825201914,28.5946825201914,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.8810955
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,3,4,0.00053568,0.00214272,0.00160704,3.73744822911573,28.5484962888825,28.5484962888825,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.9039175
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,3,4,0.000513371428571429,0.00205348571428571,0.00154011428571429,3.72811016240677,28.5702252620987,28.5702252620987,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.7865634
7,NoH_baseline,GMSK,LDPC,1/2,1115,1024,0,NaN,0,0,0,0,0,100,0,4,5,0.000892,0.00446,0.003568,3.72813089079448,28.5701769684647,28.5701769684647,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.3687282
8,NoH_baseline,GMSK,LDPC,2/3,1115,1024,0,NaN,0,0,0,0,0,100,0,4,5,0.000669,0.003345,0.002676,3.74062015764772,28.5411278024242,28.5411278024242,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.2568532
9,NoH_baseline,GMSK,LDPC,4/5,1115,1024,0,NaN,0,0,0,0,0,100,0,4,5,0.0005575,0.0027875,0.00223,3.74137350380676,28.5393786746075,28.5393786746075,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.2427456
10,NoH_baseline,GMSK,LDPC,7/8,1115,7136,0,NaN,0,0,0,0,0,100,0,4,5,0.000509714285714286,0.00254857142857143,0.00203885714285714,3.75812152670609,28.5005836037918,28.5005836037918,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.2135452
