CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,37,39,0.000446,0.017394,0.016502,3.71395719522682,28.6032621195387,28.6032621195387,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,3.0563149
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.000892,0.033896,0.032112,3.75469006888966,28.5085181208723,28.5085181208723,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,3.4005914
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.000669,0.025422,0.024084,3.73888519752317,28.5451573930784,28.5451573930784,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.774763
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.000594666666666667,0.0225973333333333,0.021408,3.74681960104715,28.5267443295081,28.5267443295081,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.5584925
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.00053568,0.02035584,0.01928448,3.74095242344016,28.5403563004507,28.5403563004507,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.5447534
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,3.72006260351669,28.5889950296035,28.5889950296035,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.3353666
7,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.78659846980361,28.4350148988722,28.4350148988722,NaN,14.7583332980081,1.92865493310657e-15,5.26393696534763,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,2.6399925
8,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0376432486297957,100,0.0555555555555556,36,38,0.000892,0.033896,0.032112,3.82834289707806,28.3397834051582,28.3397834051582,NaN,16.3044241641523,1.92865493310657e-15,5.92784786775793,error,10,0.035808,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.0707249
9,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.013783009466866,100,0.0277777777777778,36,38,0.000669,0.025422,0.024084,3.95189181898816,28.0638990502081,28.0638990502081,NaN,15.0956798891421,1.92865493310657e-15,5.34509786088241,error,10,0.026856,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.6412164
10,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.000560538116591928,100,0.0277777777777778,36,38,0.000594666666666667,0.0225973333333333,0.021408,4.20284749195753,27.5291273776356,27.5291273776356,NaN,14.9987145227978,1.92865493310657e-15,5.28244824745131,error,10,0.023872,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,3.8837301
11,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.0173206640780566,100,0.0277777777777778,36,38,0.00053568,0.02035584,0.01928448,3.71432460948247,28.6024028845871,28.6024028845871,NaN,15.2353635443599,1.92865493310657e-15,5.44588706466916,error,10,0.021504,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,4.8432463
12,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,3.66715207870248,28.7134215849614,28.7134215849614,NaN,15.0147326475902,1.92865493310657e-15,5.31776710732109,error,10,0.020608,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,2.9442866
13,H_EQ_rawGain_std7_likely_Corazza,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.88944659738563,28.20224374109,28.20224374109,NaN,-73.2061811043491,1.92865493310657e-15,0.000200387802170769,error,2,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,2.5502379
14,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000892,0.033896,0.032112,3.71605492192525,28.5983575183644,28.5983575183644,NaN,-72.8691023046149,1.92865493310657e-15,0.000201435896228119,error,2,0.035808,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,4.2504893
15,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000669,0.025422,0.024084,4.37606909253965,27.1783165933104,27.1783165933104,NaN,-73.5887617879299,1.92865493310657e-15,0.000191760152674845,error,2,0.026856,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,3.4978021
16,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000594666666666667,0.0225973333333333,0.021408,3.91197461856851,28.1520794327572,28.1520794327572,NaN,-73.4785508616696,1.92865493310657e-15,0.000194096537581021,error,2,0.023872,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,3.3569424
17,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.00053568,0.02035584,0.01928448,3.94726554664255,28.0740731216347,28.0740731216347,NaN,-73.2893366394938,1.92865493310657e-15,0.000197918876669071,error,2,0.021504,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,3.075417
18,H_EQ_rawGain_std7_likely_Corazza,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.0237119075887998,100,0.0277777777777778,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,4.04094415535243,27.8703430267316,27.8703430267316,NaN,-73.1589236992167,1.92865493310657e-15,0.000201381286126866,error,2,0.020608,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,4.7287544
