CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,117,119,0.000446,0.053074,0.052182,3.7280622937554,28.570336788978,28.570336788978,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,6.0734266
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000892,0.105256,0.103472,3.72199078085431,28.5844941385008,28.5844941385008,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,7.5100182
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000669,0.078942,0.077604,3.70442079917859,28.6255937206812,28.6255937206812,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.6761934
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.74038676376426,28.5416697705137,28.5416697705137,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.9807024
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.7152579915609,28.6002204594896,28.6002204594896,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.726416
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.74195374408884,28.5380317061009,28.5380317061009,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.4748955
7,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,9.58184814687057e-07,100,0.00854700854700855,117,119,0.000446,0.053074,0.052182,3.70196210517237,28.6313606235951,28.6313606235951,NaN,17.4894053117757,1.92865493310657e-15,6.66015166992406,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8237036
8,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,6.76511520024741e-06,100,0.00862068965517241,116,118,0.000892,0.105256,0.103472,3.83791465188249,28.3180937479703,28.3180937479703,NaN,18.1884339412883,1.92865493310657e-15,7.30169928006825,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,14.9101097
9,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.79060570945561,28.4258277517947,28.4258277517947,NaN,18.2730120371671,1.92865493310657e-15,7.3134747697798,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8696387
10,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,4.20393456706973,27.5268810449867,27.5268810449867,NaN,17.9315513439154,1.92865493310657e-15,7.03915742875467,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.2127505
11,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.73020900565281,28.5653366750395,28.5653366750395,NaN,18.0797076701118,1.92865493310657e-15,7.158258909832,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.6366044
12,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.68089899925973,28.6809219812267,28.6809219812267,NaN,18.0086313438575,1.92865493310657e-15,7.09424772829335,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.4423711
13,H_EQ_rawGain_std6_likely_CLoo,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.75210221909067,28.5145067716253,28.5145067716253,NaN,-69.2661787051572,1.92865493310657e-15,0.000298278041704903,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.2730479
14,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,2.89933508582032e-05,100,0.00862068965517241,116,118,0.000892,0.105256,0.103472,3.72166408725708,28.5852565662552,28.5852565662552,NaN,-68.5771167000456,1.92865493310657e-15,0.000327812082411771,error,2,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,15.2125739
