CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s,DetectionMode,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,117,119,0.000446,0.053074,0.052182,3.7280622937554,28.570336788978,28.570336788978,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.9499473,official-viterbi-frame-reset,117,0,0,0,0,117,0
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000892,0.105256,0.103472,3.72199078085431,28.5844941385008,28.5844941385008,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,7.6301227,official-viterbi-frame-reset,116,0,0,0,0,116,0
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000669,0.078942,0.077604,3.70442079917859,28.6255937206812,28.6255937206812,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.66477,official-viterbi-frame-reset,116,0,0,0,0,116,0
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.74038676376426,28.5416697705137,28.5416697705137,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.010033,official-viterbi-frame-reset,116,0,0,0,0,116,0
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.7152579915609,28.6002204594896,28.6002204594896,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.7475666,official-viterbi-frame-reset,116,0,0,0,0,116,0
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.74195374408884,28.5380317061009,28.5380317061009,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.4973708,official-viterbi-frame-reset,116,0,0,0,0,116,0
7,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.7663797880081,28.481517788777,28.481517788777,NaN,17.8192206241112,1.92865493310657e-15,6.87204995031559,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.1801634,official-viterbi-frame-reset,117,0,0,0,0,117,0
8,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000892,0.105256,0.103472,3.71629570699904,28.5977947266764,28.5977947266764,NaN,18.5746819033197,1.92865493310657e-15,7.58772721180054,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,10.1576394,official-viterbi-frame-reset,116,0,0,0,0,116,0
9,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.7121337563399,28.6075276717263,28.6075276717263,NaN,18.7354928938807,1.92865493310657e-15,7.69278201032967,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.9050144,official-viterbi-frame-reset,116,0,0,0,0,116,0
10,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.75155287282294,28.5157785681044,28.5157785681044,NaN,18.5662309340027,1.92865493310657e-15,7.49609257073679,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.1491848,official-viterbi-frame-reset,116,0,0,0,0,116,0
11,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.84067447506245,28.3118500174626,28.3118500174626,NaN,18.5811858396611,1.92865493310657e-15,7.4649316170026,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.6149431,official-viterbi-frame-reset,116,0,0,0,0,116,0
12,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.66698067408661,28.7138275774972,28.7138275774972,NaN,18.5899501748877,1.92865493310657e-15,7.45714080396796,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.3391304,official-viterbi-frame-reset,116,0,0,0,0,116,0
13,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,9.58184814687057e-07,100,0.00854700854700855,117,119,0.000446,0.053074,0.052182,3.70196210517237,28.6313606235951,28.6313606235951,NaN,17.4894053117757,1.92865493310657e-15,6.66015166992406,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8361152,official-viterbi-frame-reset,117,0,1,1,0.854700854700855,116,0
14,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,6.76511520024741e-06,100,0.00862068965517241,116,118,0.000892,0.105256,0.103472,3.83791465188249,28.3180937479703,28.3180937479703,NaN,18.1884339412883,1.92865493310657e-15,7.30169928006825,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,15.1002925,official-viterbi-frame-reset,116,0,1,1,0.862068965517241,115,0
15,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.79060570945561,28.4258277517947,28.4258277517947,NaN,18.2730120371671,1.92865493310657e-15,7.3134747697798,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.9023633,official-viterbi-frame-reset,116,0,0,0,0,116,0
16,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,4.20393456706973,27.5268810449867,27.5268810449867,NaN,17.9315513439154,1.92865493310657e-15,7.03915742875467,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.1273386,official-viterbi-frame-reset,116,0,0,0,0,116,0
17,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.73020900565281,28.5653366750395,28.5653366750395,NaN,18.0797076701118,1.92865493310657e-15,7.158258909832,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.5436831,official-viterbi-frame-reset,116,0,0,0,0,116,0
18,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.68089899925973,28.6809219812267,28.6809219812267,NaN,18.0086313438575,1.92865493310657e-15,7.09424772829335,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.3667644,official-viterbi-frame-reset,116,0,0,0,0,116,0
19,H_EQ_rawGain_std3_likely_CDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.74619824558874,28.5281848772448,28.5281848772448,NaN,17.0407437598565,1.92865493310657e-15,6.16548639203781,error,10,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.2426449,official-viterbi-frame-reset,117,0,0,0,0,117,0
20,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000892,0.105256,0.103472,3.70692767710491,28.6197177411872,28.6197177411872,NaN,17.7298056932121,1.92865493310657e-15,6.77596286237832,error,10,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,9.9171567,official-viterbi-frame-reset,116,0,0,0,0,116,0
21,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.75477834229539,28.5083139165216,28.5083139165216,NaN,17.7186694596765,1.92865493310657e-15,6.70915197770757,error,10,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8113943,official-viterbi-frame-reset,116,0,0,0,0,116,0
22,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.68403923689572,28.673515059859,28.673515059859,NaN,17.4651150309089,1.92865493310657e-15,6.52703475110102,error,10,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.1355585,official-viterbi-frame-reset,116,0,0,0,0,116,0
23,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.75713854331294,28.5028558033532,28.5028558033532,NaN,17.5163276475353,1.92865493310657e-15,6.52522640036139,error,10,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.5393845,official-viterbi-frame-reset,116,0,0,0,0,116,0
24,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.67846036894546,28.6866783721007,28.6866783721007,NaN,17.5143098806586,1.92865493310657e-15,6.48766595752641,error,10,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.4017449,official-viterbi-frame-reset,116,0,0,0,0,116,0
