CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744322673128,28.5951131071254,28.5951131071254,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,5.6333811
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467815930106,28.5549363624442,28.5549363624442,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,4.4852032
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758602788259,28.5249677779679,28.5249677779679,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.5413575
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892428481,28.5223192574194,28.5223192574194,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.3689313
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312762717,28.5326727774121,28.5326727774121,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.3730094
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932328329752,28.5209422233157,28.5209422233157,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.2078596
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.028819666880205,68.1818181818182,0.178571428571429,28,30,0.00892,0.2676,0.24976,4.76134959716878,26.4453985946339,26.4453985946339,NaN,13.783931048077,1.92865493310657e-15,4.08609040253356,wrap,10,0.40284,0,afterChannel,mmse,1,OK,,4.1279059
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0549499827526733,65.1162790697674,0.192307692307692,26,28,0.01784,0.49952,0.46384,9.09907751172887,20.8200527071465,20.8200527071465,NaN,14.154878040773,1.92865493310657e-15,4.26927496228855,wrap,10,0.80568,0,afterChannel,mmse,1,OK,,6.8176349
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.0407735426008969,88.8888888888889,0.15,20,24,0.01338,0.32112,0.2676,4.11290182749896,27.7170331343208,27.7170331343208,NaN,13.9722279480422,1.92865493310657e-15,4.20748732733662,wrap,10,0.60426,0,afterChannel,mmse,1,OK,,5.6479685
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0352316890881913,74.4186046511628,0.2,30,32,0.0118933333333333,0.380586666666667,0.3568,4.3223127476961,27.2856762451933,27.2856762451933,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,afterChannel,mmse,1,OK,,5.381319
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.0274002721359352,85.2941176470588,0.185185185185185,27,29,0.0107136,0.3106944,0.2892672,4.47564332511608,26.9828906149292,26.9828906149292,NaN,13.7176172267237,1.92865493310657e-15,4.06863453274799,wrap,10,0.48384,0,afterChannel,mmse,1,OK,,5.0869518
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.0265869482254166,67.6470588235294,0.142857142857143,21,23,0.0102674285714286,0.236150857142857,0.215616,3.969787584919,28.0246546162015,28.0246546162015,NaN,13.7321000410175,1.92865493310657e-15,4.06431990250912,wrap,10,0.46368,0,afterChannel,mmse,1,OK,,4.9595723
