CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744322673128,28.5951131071254,28.5951131071254,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.1382302
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467815930106,28.5549363624442,28.5549363624442,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,4.0186705
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758602788259,28.5249677779679,28.5249677779679,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.4455109
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892428481,28.5223192574194,28.5223192574194,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.307379
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312762717,28.5326727774121,28.5326727774121,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.2431025
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932328329752,28.5209422233157,28.5209422233157,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,,1,OK,,3.1316222
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.043980980361837,70.4545454545455,0.206896551724138,29,31,0.00892,0.27652,0.25868,4.50577636868876,26.9246073408127,26.9246073408127,NaN,13.783931048077,1.92865493310657e-15,4.08609040253356,wrap,10,0.40284,0,afterChannel,zf,1,OK,,3.8713979
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0426059926620465,67.4418604651163,0.227272727272727,22,29,0.01784,0.51736,0.39248,6.30057594773453,24.0123949808009,24.0123949808009,NaN,14.154878040773,1.92865493310657e-15,4.26927496228855,wrap,10,0.80568,0,afterChannel,zf,1,OK,,6.6122344
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.171493522670653,46.5116279069767,0.333333333333333,18,20,0.01338,0.2676,0.24084,4.00630750365829,27.9451143908307,27.9451143908307,NaN,13.9722279480422,1.92865493310657e-15,4.20748732733662,wrap,10,0.60426,0,afterChannel,zf,1,OK,,5.5637901
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0410285155800851,95.3488372093023,0.179487179487179,39,41,0.0118933333333333,0.487626666666667,0.46384,4.19693473295942,27.5413556900421,27.5413556900421,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,afterChannel,zf,1,OK,,5.2330065
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.0504457112841429,70.4545454545455,0.172413793103448,29,31,0.0107136,0.3321216,0.3106944,4.21531432356596,27.503400715444,27.503400715444,NaN,13.7176172267237,1.92865493310657e-15,4.06863453274799,wrap,10,0.48384,0,afterChannel,zf,1,OK,,5.0016209
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.036917482932621,82.1428571428571,0.238095238095238,21,23,0.0102674285714286,0.236150857142857,0.215616,3.95221616422941,28.0631861988711,28.0631861988711,NaN,13.7321000410175,1.92865493310657e-15,4.06431990250912,wrap,10,0.46368,0,afterChannel,zf,1,OK,,4.8071593
