CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,0.00892,0.39248,0.37464,5.23786123958779,25.616920220085,25.616920220085,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,3.2628557
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01784,0.76712,0.73144,5.23204020126123,25.6265785539248,25.6265785539248,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,4.306102
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01338,0.57534,0.54858,5.33313313155131,25.460351496879,25.460351496879,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,3.6623386
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,5.27781732420132,25.5509129131049,25.5509129131049,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,3.5067855
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0107136,0.4606848,0.4392576,5.33147226796691,25.4630569092921,25.4630569092921,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,3.4544063
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,5.33577018553307,25.4560576796719,25.4560576796719,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,psd,-96,8000000,-26.9691001300806,16.9691001300806,,1,OK,,3.3528921
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.00303936223218734,65.9090909090909,0.037037037037037,27,29,0.00892,0.25868,0.24084,3.85836081340805,28.2719432376008,28.2719432376008,NaN,17.6015861236536,1.92865493310657e-15,6.67699950574392,wrap,10,0.40284,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.5706862537342,mmse,1,OK,,4.1195934
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0231165919282511,71.0526315789474,0.12,25,27,0.01784,0.48168,0.446,4.60697577115153,26.7316814353582,26.7316814353582,NaN,17.9706368681986,1.92865493310657e-15,6.9742588342156,wrap,10,0.80568,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.9397369982791,mmse,1,OK,,7.1326189
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.0271060217809097,69.7674418604651,0.0714285714285714,28,30,0.01338,0.4014,0.37464,3.7201051129238,28.588895775922,28.588895775922,NaN,17.7881692647427,1.92865493310657e-15,6.87349534414015,wrap,10,0.60426,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.7572693948232,mmse,1,OK,,5.8818256
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0214715600660845,93.0232558139535,0.0263157894736842,38,40,0.0118933333333333,0.475733333333333,0.451946666666667,3.76860466957129,28.4763883617991,28.4763883617991,NaN,17.6280563639485,1.92865493310657e-15,6.73011387330059,wrap,10,0.53712,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.5971564940291,mmse,1,OK,,5.5409563
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,6.82970539382813e-05,100,0.024390243902439,41,43,0.0107136,0.4606848,0.4392576,3.77778424971884,28.4552569676278,28.4552569676278,NaN,17.5332941669112,1.92865493310657e-15,6.64607786456195,wrap,10,0.48384,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.5023942969917,mmse,1,OK,,4.5313411
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,9.77347262341724e-05,100,0.0487804878048781,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.70772977237588,28.6178385145129,28.6178385145129,NaN,17.5483387555638,1.92865493310657e-15,6.63973099928679,wrap,10,0.46368,0,afterChannel,psd,-96,8000000,-26.9691001300806,34.5174388856444,mmse,1,OK,,4.3556617
