CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,24,45,1.51323471604189,36.4018740770005,36.4018740769964,-0.00193352109573784,0,NaN,NaN,1,OK,,6.6952013
2,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.53439702975713,36.2812450173541,36.2812450173502,-0.00225619602756842,0,NaN,NaN,1,OK,,18.1162663
3,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,24,43,1.54927484711841,36.1974305990003,36.1974305989964,0.00963244615349008,0,NaN,NaN,1,OK,,11.5956014
4,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.5035746512562,36.4575000932207,36.4575000932165,-0.00271837075450193,0,NaN,NaN,1,OK,,9.8596816
5,NoH_baseline,QPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.50546296128707,36.4465984982288,36.4465984982247,0.00149777593362206,0,NaN,NaN,1,OK,,8.4510156
6,NoH_baseline,QPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,23,42,1.53420434342544,36.2823358414857,36.2823358414817,-0.00138153853721154,0,NaN,NaN,1,OK,,13.4593306
7,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,24,45,1.52991527223014,36.3066524009265,36.3066524009225,0.00508399925390242,0,NaN,NaN,1,OK,,10.9860707
8,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,42,1.54094107157203,36.2442793837163,36.2442793837124,0.00421757940104268,0,NaN,NaN,1,OK,,33.3957851
9,NoH_baseline,8PSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,42,1.54759451326722,36.2068563733036,36.2068563732997,-0.00543802667769569,0,NaN,NaN,1,OK,,20.8122525
10,NoH_baseline,8PSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.50255595427383,36.4633869232113,36.4633869232072,0.00638024220585024,0,NaN,NaN,1,OK,,17.1136965
11,NoH_baseline,8PSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.51256414707219,36.4057239615595,36.4057239615554,-0.00464338795539511,0,NaN,NaN,1,OK,,14.5637645
12,NoH_baseline,8PSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.5137105403457,36.3991432992203,36.3991432992162,-0.00489030964627801,0,NaN,NaN,1,OK,,13.4308295
13,NoH_baseline,16APSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,44,1.81115457653016,34.8408896478407,34.8849973133374,-0.0940993811016241,0,NaN,NaN,1,OK,,3.1043406
14,NoH_baseline,16APSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,24,43,1.80778467251364,34.8570660027471,34.8610943528097,0.00995162420946149,0,NaN,NaN,1,OK,,6.2513741
15,NoH_baseline,16APSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.82597832563287,34.7700876369534,34.746851830298,-0.0290336752009588,0,NaN,NaN,1,OK,,4.6026494
16,NoH_baseline,16APSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.82588483692356,34.7705323593186,34.7320755130903,-0.0186467750501324,0,NaN,NaN,1,OK,,4.1418949
17,NoH_baseline,16APSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.79999860736892,34.8945566180696,34.9046204958633,0.0486550599640688,0,NaN,NaN,1,OK,,3.763029
18,NoH_baseline,16APSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.80781990978081,34.8568966993807,34.8538729828248,0.061178662493696,0,NaN,NaN,1,OK,,3.621014
19,NoH_baseline,32APSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,44,1.90272342931253,34.4124866814747,34.4455236899521,0.0769419609551054,0,NaN,NaN,1,OK,,3.0105827
20,NoH_baseline,32APSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0.5,27.027027027027,NaN,0,10,1.92955756934271,34.2908451899999,34.3345768594386,0.109954922379359,0,NaN,NaN,1,OK,,18.0480064
21,NoH_baseline,32APSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,22,43,1.91156981286144,34.3721967278209,34.3394182894469,0.0264039526053654,0,NaN,NaN,1,OK,,4.5645157
22,NoH_baseline,32APSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,11,30,1.89718789652686,34.4377930935211,34.4470869086153,-0.0438184984417634,0,NaN,NaN,1,OK,,4.0362408
23,NoH_baseline,32APSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,22,43,1.88331076220681,34.50156023614,34.4581621645637,-0.027905608473601,0,NaN,NaN,1,OK,,3.6803586
24,NoH_baseline,32APSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,22,41,1.9310935840397,34.2839335814063,34.2523873756387,-0.0239523474185724,0,NaN,NaN,1,OK,,3.5397221
25,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,24,45,3.71744322673128,28.5951131071254,28.5951131071254,NaN,0,NaN,NaN,1,OK,,4.8793372
26,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,44,3.73467815930106,28.5549363624442,28.5549363624442,NaN,0,NaN,NaN,1,OK,,11.5113675
27,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,44,3.74758602788259,28.5249677779679,28.5249677779679,NaN,0,NaN,NaN,1,OK,,7.8668256
28,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,23,44,3.74872892428481,28.5223192574194,28.5223192574194,NaN,0,NaN,NaN,1,OK,,6.9067233
29,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,24,43,3.74426312762717,28.5326727774121,28.5326727774121,NaN,0,NaN,NaN,1,OK,,6.0419668
30,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,24,43,3.74932328329752,28.5209422233157,28.5209422233157,NaN,0,NaN,NaN,1,OK,,5.7571353
31,H_EQ_rawGain,QPSK,none,none,1115,NaN,0,NaN,1,1,0,0,0,100,0,24,45,3.55242914479536,28.9894915112541,28.9894915112534,-0.00382531350146596,14.0969454777835,1.92865493310657e-15,4.31208279649419,1,OK,,6.840208
32,H_EQ_rawGain,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.000198736241337138,100,0.0909090909090909,22,41,3.60065158401319,28.8723780194569,28.8723780194562,-0.00232433179305665,13.7879859877658,1.92865493310657e-15,4.08609040253356,1,OK,,33.997361
33,H_EQ_rawGain,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0,100,0,24,43,1.67905305624804,35.4987116082491,35.4987116082458,0.00635174189922719,14.0445438680577,1.92865493310657e-15,4.29431418912407,1,OK,,12.0199062
34,H_EQ_rawGain,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,5.13826606875934e-05,100,0.0416666666666667,24,43,4.64592839430414,26.6585497615647,26.6585497615643,0.000360222917164452,14.1058812345887,1.92865493310657e-15,4.31310991845517,1,OK,,17.6609554
35,H_EQ_rawGain,QPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,0,0,100,0,22,41,2.41428466393536,32.344230486864,32.3442304868624,0.00853492743951393,14.2599921361283,1.92865493310657e-15,4.39514921177039,1,OK,,8.7562642
36,H_EQ_rawGain,QPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,0,0.5,15.625,NaN,0,5,7.29527392630046,22.7391679275086,22.7391679275085,0.0136131494542597,14.2712163191701,1.92865493310657e-15,4.4061846875635,1,OK,,24.793444
37,H_EQ_rawGain,8PSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,1,43.7347112859828,7.18347472234841,7.1834747223484,0.240073557622807,14.5260037974489,1.92865493310657e-15,4.53317044968685,1,OK,,71.9174673
38,H_EQ_rawGain,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,1,25.7381192073959,11.7884638399248,11.7884638399248,-0.198685600847177,14.105884427264,1.92865493310657e-15,4.31310991845517,1,OK,,246.1192206
39,H_EQ_rawGain,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.5,100,NaN,0,48,42.7704863644186,7.37711622274209,7.37711622274209,-0.26591220352231,14.0972980573129,1.92865493310657e-15,4.31208279649419,1,OK,,158.6188895
40,H_EQ_rawGain,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,0,41.8629702899141,7.56339921093828,7.56339921093828,-0.117336075117938,14.1710504848591,1.92865493310657e-15,4.34109228202262,1,OK,,129.0199437
41,H_EQ_rawGain,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,1,22.9401498770445,12.7880749801678,12.7880749801678,-0.1107651870695,14.2036288939235,1.92865493310657e-15,4.34727174367576,1,OK,,96.8073708
42,H_EQ_rawGain,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,1,27.4629013457381,11.2250716639934,11.2250716639934,-0.489934455901312,14.2494841369022,1.92865493310657e-15,4.37580296263653,1,OK,,87.0281311
43,H_EQ_rawGain,16APSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.000253460713589394,100,0.173913043478261,23,44,3.20928135756799,29.8718441331115,29.9159517986101,0.385147904791522,14.7466386505965,1.92865493310657e-15,4.63732438790321,1,OK,,3.2427489
44,H_EQ_rawGain,16APSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0,100,0,24,43,2.21801696109526,33.0807027428001,33.0847310928636,-0.104243853583492,14.1393178420039,1.92865493310657e-15,4.34248659395504,1,OK,,6.5244376
45,H_EQ_rawGain,16APSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.000285364859355891,100,0.0454545454545455,22,41,4.55632124116661,26.8277132759336,26.8054903110033,-0.0156211379007777,14.2158820912885,1.92865493310657e-15,4.35171535668918,1,OK,,4.8034858
46,H_EQ_rawGain,16APSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,0.000234406848756625,100,0.0454545454545455,22,41,4.07775921902346,27.7915684349961,27.75311158877,-0.160098381632218,14.3560744506763,1.92865493310657e-15,4.43114252818872,1,OK,,4.3723341
47,H_EQ_rawGain,16APSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,0,0.000504032258064516,100,0.0454545454545455,22,41,2.12521115308036,33.451958271691,33.4620221494855,-0.0669646483058209,14.6532192062827,1.92865493310657e-15,4.60508568580484,1,OK,,3.9244616
48,H_EQ_rawGain,16APSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,0,0.000723508459483526,100,0.0454545454545455,22,41,3.06205393815816,30.2797432692402,30.2767195526862,0.110365352276786,14.6615977544842,1.92865493310657e-15,4.59790855574615,1,OK,,3.8080637
49,H_EQ_rawGain,32APSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.000151101579255215,100,0.260869565217391,23,44,3.8332708529782,28.3286098617276,28.3620205849363,0.0965440524513044,14.9766935159838,1.92865493310657e-15,4.74373200747648,1,OK,,3.1178432
50,H_EQ_rawGain,32APSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.5,27.027027027027,NaN,0,10,3.57350332296775,28.9381161943239,28.9835439756956,-0.00621695440196386,14.1587232971103,1.92865493310657e-15,4.3257718223743,1,OK,,18.2481534
51,H_EQ_rawGain,32APSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.000321035466775377,100,0.0454545454545455,22,41,2.22627965119733,33.0484056648636,33.0152477722429,-0.017295654561854,14.6571049059716,1.92865493310657e-15,4.60414158619698,1,OK,,4.7027168
52,H_EQ_rawGain,32APSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,0.00132490827558092,100,0.0909090909090909,11,30,3.72555659182005,28.5761767042273,28.5829704108104,-0.0871593301779278,14.7539069321054,1.92865493310657e-15,4.64160870259282,1,OK,,4.2275839
53,H_EQ_rawGain,32APSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,0,0.0011760752688172,100,0.136363636363636,22,41,2.99545685711235,30.4707386214754,30.4273405499007,-0.175543340396325,14.7230335709864,1.92865493310657e-15,4.60951956243465,1,OK,,3.8340343
54,H_EQ_rawGain,32APSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,0,0.00159374241075042,100,0.0909090909090909,22,43,3.75786272567216,28.5011817735442,28.4696355677785,-0.0840173339759235,14.7589168929928,1.92865493310657e-15,4.63729153735724,1,OK,,3.6748907
55,H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.5,77.7777777777778,NaN,0,35,4.50513848523066,26.9258370906035,26.9258370906035,NaN,13.783931048077,1.92865493310657e-15,4.08609040253356,1,OK,,11.8317021
56,H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,0.5,63.6363636363636,NaN,0,28,6.28542386697543,24.0333085938281,24.0333085938281,NaN,14.154878040773,1.92865493310657e-15,4.26927496228855,1,OK,,36.3984181
57,H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.5,54.5454545454545,NaN,0,24,4.00621632699921,27.9453120689693,27.9453120689693,NaN,13.9722279480422,1.92865493310657e-15,4.20748732733662,1,OK,,22.8626486
58,H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,0.5,75,NaN,0,33,4.19689855865048,27.5414305559691,27.5414305559691,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,1,OK,,19.2750431
59,H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,1,4.2144038504929,27.5052769984936,27.5052769984936,NaN,13.7176172267237,1.92865493310657e-15,4.06863453274799,1,OK,,15.2579873
60,H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,0,0.189113980409617,88.6363636363636,0.25,4,39,3.95239091073776,28.0628021623537,28.0628021623537,NaN,13.7321000410175,1.92865493310657e-15,4.06431990250912,1,OK,,15.1807841
