CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,47,49,0.000892,0.043708,0.041924,3.7403863184045,28.5416708047239,28.5416708047239,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,4.0410956
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.001784,0.085632,0.082064,3.73227341377217,28.5605309762004,28.5605309762004,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,6.1965844
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.001338,0.064224,0.061548,3.7503355172537,28.5185975426526,28.5185975426526,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.0939236
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.00118933333333333,0.057088,0.0547093333333333,3.73736346366813,28.5486932873764,28.5486932873764,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,4.0754011
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.00107136,0.05142528,0.04928256,3.75639586740246,28.5045729182724,28.5045729182724,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.761911
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.00102674285714286,0.0492836571428571,0.0472301714285714,3.74302061676913,28.5355556152087,28.5355556152087,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.4727709
7,H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000892,0.043708,0.041924,3.83040157576879,28.3351138522304,28.3351138522304,NaN,13.7733859821019,1.92865493310657e-15,4.1690835403127,wrap,10,0.04476,0,1,OK,,3.6573527
8,H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0138300040766408,95.8333333333333,0.0227272727272727,44,46,0.001784,0.082064,0.078496,4.19221004995485,27.5511393045948,27.5511393045948,NaN,14.9253887504839,1.92865493310657e-15,4.71738403072781,wrap,10,0.08952,0,1,OK,,16.6619437
9,H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.001338,0.064224,0.061548,3.72638176177957,28.5742530878767,28.5742530878767,NaN,14.7542223844658,1.92865493310657e-15,4.57147582775115,wrap,10,0.06714,0,1,OK,,4.0818486
10,H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.00118933333333333,0.057088,0.0547093333333333,3.69262536405541,28.6532950307154,28.6532950307154,NaN,14.590349107204,1.92865493310657e-15,4.47911728864607,wrap,10,0.05968,0,1,OK,,4.9376389
11,H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.00107136,0.05142528,0.04928256,3.79762826419636,28.4097509800237,28.4097509800237,NaN,13.9995280666389,1.92865493310657e-15,4.20412421599854,wrap,10,0.05376,0,1,OK,,4.4334212
12,H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.00102674285714286,0.0492836571428571,0.0472301714285714,3.70248762860109,28.6301276788994,28.6301276788994,NaN,13.4865194058012,1.92865493310657e-15,4.00850373060718,wrap,10,0.05152,0,1,OK,,4.2885086
