CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain_default_ChannelData,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,98.3050847457627,0,56,58,8.92e-05,0.0051736,0.0049952,3.31557757059553,29.5888161393102,29.6306536765954,13.2429305181307,15.9297996312856,1.92865493310657e-15,5.87338033699224,error,10,0.00537,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,1.722166
2,H_EQ_rawGain_default_ChannelData,32QAM,TPC,1/2_x8,1024,NaN,0,8,1,1,0,1,0,98.3050847457627,0,56,58,0.00016384,0.00950272,0.00917504,4.51574504203523,26.9054117245028,26.9544694543392,4.42730843551224,16.3853102687864,1.92865493310657e-15,6.09959762758262,error,10,0.01967625,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,118.7521903
3,H_EQ_rawGain_default_ChannelData,32QAM,TPC,2/3_x4,1352,NaN,0,4,1,1,0,1,0,98.3050847457627,0,56,58,0.00016224,0.00940992,0.00908544,3.87615645040976,28.2319740432695,28.1897295425632,31.067306044063,15.8860179265306,1.92865493310657e-15,5.89997519613182,error,10,0.0098175,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,61.708145
4,H_EQ_rawGain_std2_likely_TDL,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,98.3050847457627,0,56,58,8.92e-05,0.0051736,0.0049952,3.15657728930048,30.0156714487298,30.0575089860149,13.0646310472994,13.0590137795721,1.92865493310657e-15,4.32475102598328,error,10,0.00537,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,1.6041212
5,H_EQ_rawGain_std2_likely_TDL,32QAM,TPC,1/2_x8,1024,NaN,0,8,1,1,0,1,0.000789241622574956,98.3050847457627,0.0178571428571429,56,58,0.00016384,0.00950272,0.00917504,4.52067476593566,26.8959347318656,26.9449924617021,4.83619838416244,14.6085934201182,1.92865493310657e-15,5.11792047180378,error,10,0.01967625,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,118.5862991
6,H_EQ_rawGain_std2_likely_TDL,32QAM,TPC,2/3_x4,1352,NaN,0,4,1,1,0,1,0,98.3050847457627,0,56,58,0.00016224,0.00940992,0.00908544,3.90792538328244,28.16107474317,28.1188302424637,31.3821884593977,13.8175146024696,1.92865493310657e-15,4.76859942610092,error,10,0.0098175,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,61.3010442
7,H_EQ_rawGain_std3_likely_CDL,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,98.3050847457627,0,56,58,8.92e-05,0.0051736,0.0049952,3.19524757179117,29.90990973041,29.9517472676952,13.2858765922698,14.5062894879756,1.92865493310657e-15,5.1197908840137,error,10,0.00537,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,1.6074711
8,H_EQ_rawGain_std3_likely_CDL,32QAM,TPC,1/2_x8,1024,NaN,0,8,1,1,0,1,0.0926666666666667,96.6101694915254,0.236363636363636,55,57,0.00016384,0.00933888,0.0090112,4.56772882071999,26.8059937483125,26.8550514781489,4.92458491376886,16.2514751138466,1.92865493310657e-15,5.95506259632262,error,10,0.01967625,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,477.631889
9,H_EQ_rawGain_std3_likely_CDL,32QAM,TPC,2/3_x4,1352,NaN,0,4,1,1,0,1,0,98.3050847457627,0,56,58,0.00016224,0.00940992,0.00908544,3.90048433625601,28.1776292363765,28.1353847356702,31.2457910995887,13.9064146039394,1.92865493310657e-15,4.76081836412897,error,10,0.0098175,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,61.7075602
10,H_EQ_rawGain_std4_likely_ITU_P681,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,98.3050847457627,0,56,58,8.92e-05,0.0051736,0.0049952,3.12719535655508,30.09689974883,30.1387372861151,13.3419766466414,14.0304816357343,1.92865493310657e-15,4.74831505372218,error,10,0.00537,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,not-applicable,1,OK,,1.6024959
