CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,57,59,1.5377518451862,36.2622748636657,36.2622748636617,0.00470786453637449,0,NaN,NaN,1,OK,,5.6424433
2,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,56,58,1.5184613523855,36.3719251438548,36.3719251438507,0.00318114995594583,0,NaN,NaN,1,OK,,25.4844173
3,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,56,58,1.53061763887207,36.302665723167,36.302665723163,-0.000534740111178029,0,NaN,NaN,1,OK,,6.6902455
4,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.51624543193693,36.3846098908512,36.3846098908471,-0.00674215463876542,0,NaN,NaN,1,OK,,84.0457584
5,NoH_baseline,QPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.54248799104793,36.2355641691283,36.2355641691244,0.00426638340332654,0,NaN,NaN,1,OK,,19.878606
6,NoH_baseline,QPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.5114538027681,36.4121024478509,36.4121024478468,-0.00433238404652309,0,NaN,NaN,1,OK,,5.1088994
7,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,57,59,1.54184787791846,36.2391694522845,36.2391694522806,-0.013830694335622,0,NaN,NaN,1,OK,,25.9120161
8,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.50468445862319,36.4510912937161,36.451091293712,-8.77505978143016e-05,0,NaN,NaN,1,OK,,9.8474307
9,NoH_baseline,8PSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.48452186750343,36.5682680143579,36.5682680143537,-0.00260556475895433,0,NaN,NaN,1,OK,,5.1387353
10,NoH_baseline,8PSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.50699063731092,36.437788917567,36.4377889175629,-0.00511151055015706,0,NaN,NaN,1,OK,,34.9389609
11,NoH_baseline,8PSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.50373963412741,36.4565470681113,36.4565470681072,-0.00969509886868682,0,NaN,NaN,1,OK,,8.982834
12,NoH_baseline,8PSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,55,57,1.51329681310985,36.4015176503292,36.4015176503251,-0.002897191867385,0,NaN,NaN,1,OK,,4.2986702
13,H_EQ_rawGain,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,2.75352057273228e-05,100,0.087719298245614,57,59,4.62700787112081,26.6939952342016,26.6939952342012,0.0135656032511932,14.105533154993,1.92865493310657e-15,4.31310991845517,1,OK,,6.3409768
14,H_EQ_rawGain,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,4.20403587443946e-05,100,0.0178571428571429,56,58,3.02383015116861,30.3888521369739,30.3888521369729,-0.000283328065471015,13.8163473639196,1.92865493310657e-15,4.11979756372699,1,OK,,47.4294673
15,H_EQ_rawGain,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.00013613068545804,100,0.0535714285714286,56,58,3.50738681054319,29.1003267101955,29.1003267101948,-0.00499043105631891,13.7876655620173,1.92865493310657e-15,4.08609040253356,1,OK,,10.7096021
16,H_EQ_rawGain,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,56,58,9.31560942690743,20.6157745661106,20.6157745661105,0.0389846352332835,13.8796550176726,1.92865493310657e-15,4.14074205008995,1,OK,,84.0051845
17,H_EQ_rawGain,QPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,9.97882046269143e-05,100,0.0363636363636364,55,57,2.25573439326824,32.9342407739942,32.9342407739924,0.00167136878905436,14.1503872191847,1.92865493310657e-15,4.32525723496705,1,OK,,36.8612723
18,H_EQ_rawGain,QPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,14,4.01636264835908,27.92334160914,27.9233416091395,-0.00843163744029661,14.0091211728525,1.92865493310657e-15,4.27739967682664,1,OK,,16.3562025
19,H_EQ_rawGain,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,15,22.6719437397758,12.8902248958624,12.8902248958624,-0.19811269910233,14.1707277045588,1.92865493310657e-15,4.34079811108856,1,OK,,8.789463
20,H_EQ_rawGain,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,26,45.6206888567787,6.8167632262382,6.8167632262382,0.438603766499287,13.8793013945524,1.92865493310657e-15,4.14074205008995,1,OK,,54.8333886
21,H_EQ_rawGain,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,16,39.7276799159302,8.01813593731723,8.01813593731723,0.111692866713791,14.1062764144619,1.92865493310657e-15,4.31310991845517,1,OK,,14.6460198
22,H_EQ_rawGain,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,17,24.8049792372363,12.1092226429913,12.1092226429913,0.86422484553299,14.2191507521345,1.92865493310657e-15,4.37548035041122,1,OK,,244.9455017
23,H_EQ_rawGain,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,19,45.6414560732812,6.81281017968462,6.81281017968462,-0.0713550948780887,14.1820803215847,1.92865493310657e-15,4.36027468015644,1,OK,,51.6512823
24,H_EQ_rawGain,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,12,23.6821177332607,12.5115892832848,12.5115892832848,-0.272120189536297,14.1139740187986,1.92865493310657e-15,4.31872330425511,1,OK,,11.6926462
