CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,4.27076660260517e-05,100,0.0714285714285714,42,44,6.34306938054051,23.954010765205,23.9540107652048,-0.0024334484401589,14.0969454777835,1.92865493310657e-15,4.31208279649419,1,OK,,6.6090207
2,H_EQ_rawGain,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.000131247949250793,100,0.0487804878048781,41,43,6.66234254357923,23.5274608373944,23.5274608373942,0.00843938654066553,13.7879859877658,1.92865493310657e-15,4.08609040253356,1,OK,,47.9057525
3,H_EQ_rawGain,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,3.55463195887564e-05,100,0.0487804878048781,41,43,2.59830027320891,31.7062132202856,31.7062132202842,0.00278750536199482,14.0445438680577,1.92865493310657e-15,4.29431418912407,1,OK,,10.5726652
4,H_EQ_rawGain,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,6.83583069014547e-05,100,0.0487804878048781,41,43,9.2028579937516,20.721545587516,20.7215455875159,-0.00126624109678112,14.1058812345887,1.92865493310657e-15,4.31310991845517,1,OK,,168.6313712
5,H_EQ_rawGain,QPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.000184811827956989,100,0.075,40,42,4.26721825572932,27.3971028736091,27.3971028736086,0.0158680307228564,14.2599921361283,1.92865493310657e-15,4.39514921177039,1,OK,,50.8550355
6,H_EQ_rawGain,QPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.00013913624220837,100,0.075,40,42,12.4749361598846,18.0792333637601,18.07923336376,0.0246455077312318,14.2712163191701,1.92865493310657e-15,4.4061846875635,1,OK,,335.397797
7,H_EQ_rawGain,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.000202340588428306,100,0.219512195121951,41,44,5.18313484823175,25.7081498418043,25.708149841804,0.00184410718382909,14.5260037974489,1.92865493310657e-15,4.53317044968685,1,OK,,20.6600372
8,H_EQ_rawGain,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,7.0067264573991e-05,100,0.05,40,42,9.5153199303847,20.431532099899,20.4315320998989,-0.00757381153406776,14.105884427264,1.92865493310657e-15,4.31310991845517,1,OK,,4.6241465
9,H_EQ_rawGain,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,5.60538116591928e-05,100,0.025,40,42,6.3947926526522,23.8834706539454,23.8834706539452,0.00508740318576222,14.0972980573129,1.92865493310657e-15,4.31208279649419,1,OK,,4.0788538
10,H_EQ_rawGain,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.000196188340807175,100,0.05,40,43,2.96841058390248,30.5495205719665,30.5495205719655,-0.00439306097092554,14.1710504848591,1.92865493310657e-15,4.34109228202262,1,OK,,4.3613267
11,H_EQ_rawGain,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.000350022401433692,100,0.05,40,42,9.60964045065437,20.3458572273116,20.3458572273115,0.0185352105836068,14.2036288939235,1.92865493310657e-15,4.34727174367576,1,OK,,4.5859426
12,H_EQ_rawGain,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.000278272484416741,100,0.05,40,42,11.5466486727824,18.7508809632562,18.7508809632562,-0.00808158108012268,14.2494841369022,1.92865493310657e-15,4.37580296263653,1,OK,,4.8678769
