CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,BPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,117,119,0.000446,0.053074,0.052182,1.59955581264937,35.9200120331009,35.9200120330973,2.42508709792588e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.126407
2,NoH_baseline,BPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000892,0.105256,0.103472,1.61222199268545,35.8515031766672,35.8515031766636,-2.4975743856856e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.9811596
3,NoH_baseline,BPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000669,0.078942,0.077604,1.60297523848132,35.9014637247695,35.9014637247659,-2.67832482444578e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,6.1770564
4,NoH_baseline,BPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,1.57690321915304,36.0438992047925,36.0438992047888,-6.42356372944103e-16,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.7227138
5,NoH_baseline,BPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,115,118,0.00053568,0.06321024,0.0616032,1.5994239880584,35.9207278949823,35.9207278949787,-1.95515466837477e-15,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,6.4272553
6,NoH_baseline,BPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,115,117,0.000513371428571429,0.0600644571428571,0.0590377142857143,1.65380993244853,35.630288082271,35.6302880822675,2.11492982329986e-16,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,7.0122542
7,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,117,119,0.000223,0.026537,0.026091,1.50716059427415,36.4368093864726,36.4368093864684,-0.00134478531314883,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.7627361
8,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.000446,0.052628,0.051736,1.50555385520023,36.4460740943169,36.4460740943127,0.084296289939699,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.7181047
9,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,118,0.0003345,0.039471,0.038802,1.52687145599046,36.3239504743775,36.3239504743735,0.0200935823068977,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.4229901
10,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,115,117,0.000297333333333333,0.034788,0.0341933333333333,1.49499285495527,36.5072176593115,36.5072176593073,0.0957724090332985,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.0792563
11,NoH_baseline,QPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,115,118,0.00026784,0.03160512,0.0308016,1.53904049585399,36.2549990537336,36.2549990537296,0.087311238892539,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,5.817193
12,NoH_baseline,QPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,115,117,0.000256685714285714,0.0300322285714286,0.0295188571428571,1.51623866968653,36.3846486288354,36.3846486288314,-0.115313268936448,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,6.5357844
13,NoH_baseline,8PSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,116,119,0.000148666666666667,0.0176913333333333,0.0172453333333333,1.52601372405136,36.3288312115942,36.3288312115902,-0.0560883309895584,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.8871803
14,NoH_baseline,8PSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,115,118,0.000297333333333333,0.0350853333333333,0.0341933333333333,1.52648514396864,36.3261483595544,36.3261483595504,0.0582240904806484,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,4.6862282
