Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Runs,BER_mean,BER_median,BER_worst,Lock_mean_pct,Lock_worst_pct,FER_mean,MER_mean_dB,PassRate_pct,ZeroBERRate_pct,ErrorRuns
NoH_baseline,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,36.3839344475317,100,100,0
NoH_baseline,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,36.3373490379189,100,100,0
NoH_baseline,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,36.3717709822083,100,100,0
NoH_baseline,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,36.3529852616726,100,100,0
NoH_baseline,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,36.2657408999113,100,100,0
NoH_baseline,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,36.314168885815,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,36.3913620595466,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,36.3691875086748,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,36.3474642921374,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,36.2454190575202,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,36.3843275163611,100,100,0
NoH_baseline,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,36.2868977259782,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,36.3712087568366,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,36.4189098520835,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,36.4723376128087,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,36.4314531987182,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,36.4116913355893,100,100,0
NoH_baseline,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,36.2622862100697,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,36.3677799091557,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,36.27976567333,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,36.3840911420171,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,36.4037024593488,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,36.4837629727519,100,100,0
NoH_baseline,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,36.2271410363649,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,36.2259476717604,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,31.2511311421121,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,31.223542688065,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,29.4338930774833,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.4315165721216,100,100,0
default_ChannelData,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,22.4348652585043,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,36.2404142104978,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,31.462275866425,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,31.3831268990992,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,29.3560127670042,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.4789968088001,100,100,0
default_ChannelData,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,21.9980746571692,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,31.1251421455691,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,31.7735297855847,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,31.5748185198898,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,30.0073485412111,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,30.962135670269,100,100,0
default_ChannelData,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.8330710076918,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,31.1327357858501,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,31.7424383507925,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,31.5525936968066,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,30.0830771327048,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,30.9540932884798,100,100,0
default_ChannelData,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,35.9096782403963,100,100,0
std2_TDL,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,26.4029896085225,100,100,0
std2_TDL,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,31.6147446671821,100,100,0
std2_TDL,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,20.6826740528103,100,100,0
std2_TDL,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,29.8031697004759,100,100,0
std2_TDL,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,34.37120907918,100,100,0
std2_TDL,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,33.2234536392307,100,100,0
std2_TDL,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,26.4451660189846,100,100,0
std2_TDL,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,31.6569802035802,100,100,0
std2_TDL,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,20.5485792572086,100,100,0
std2_TDL,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,29.8297242298656,100,100,0
std2_TDL,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,34.4962973197589,100,100,0
std2_TDL,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,33.1898318289177,100,100,0
std2_TDL,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.7000969897275,100,100,0
std2_TDL,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,36.1006012038111,100,100,0
std2_TDL,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,32.2896330250268,100,100,0
std2_TDL,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,33.4273034885421,100,100,0
std2_TDL,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,35.2326345546834,100,100,0
std2_TDL,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.8889978288667,100,100,0
std2_TDL,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.7261661080944,100,100,0
std2_TDL,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,97.0588235294118,97.0588235294118,0,35.9049878098248,100,100,0
std2_TDL,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,32.2751487949612,100,100,0
std2_TDL,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,33.4363467093978,100,100,0
std2_TDL,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.2879661429426,100,100,0
std2_TDL,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,35.8084120562438,100,100,0
std3_CDL,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,26.262358804885,100,100,0
std3_CDL,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,23.9378601696056,100,100,0
std3_CDL,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,34.360223440533,100,100,0
std3_CDL,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,21.6413723543903,100,100,0
std3_CDL,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,34.9107517578883,100,100,0
std3_CDL,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,26.7365673701826,100,100,0
std3_CDL,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,26.8201299593425,100,100,0
std3_CDL,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,23.7541825989887,100,100,0
std3_CDL,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,34.1240800779394,100,100,0
std3_CDL,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,21.4851308681935,100,100,0
std3_CDL,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.0025154667319,100,100,0
std3_CDL,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,26.9843690007906,100,100,0
std3_CDL,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.1458371684683,100,100,0
std3_CDL,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,97.0588235294118,97.0588235294118,0,32.6602617503623,100,100,0
std3_CDL,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,97.0588235294118,97.0588235294118,0,24.2729242692897,100,100,0
std3_CDL,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,26.5398107739618,100,100,0
std3_CDL,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,34.9964061820119,100,100,0
std3_CDL,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.4865199364795,100,100,0
std3_CDL,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,34.140995059099,100,100,0
std3_CDL,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,97.0588235294118,97.0588235294118,0,32.6944692962986,100,100,0
std3_CDL,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,97.0588235294118,97.0588235294118,0,24.3221609518948,100,100,0
std3_CDL,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,26.6961499265433,100,100,0
std3_CDL,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,35.09672343989,100,100,0
std3_CDL,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,97.0588235294118,97.0588235294118,0,35.4756566822995,100,100,0
std4_ITU_P681,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,33.1871903346867,100,100,0
std4_ITU_P681,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,32.7994026950673,100,100,0
std4_ITU_P681,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,30.7613573344407,100,100,0
