Idx,Name,PathMode,Modulation,Coding,Rate,Randomizer,Position,ChannelProfile,Status,Success,Pass,BER,LockRate,FER,FrameErrors,CountedFrames,AcquisitionFrames,ElapsedTime,Error
274,merge_QPSK_TPC_56x56_randOff_sync,merge,QPSK,TPC,56x56,randOff,preDecode,sync,PASS,1,1,0,1,0,0,16,6,6.7670366,
275,merge_QPSK_TPC_56x56_randPre_sync,merge,QPSK,TPC,56x56,randPre,preDecode,sync,PASS,1,1,-2,0,NaN,0,0,NaN,0.4161095,
276,merge_QPSK_TPC_56x56_randPost_sync,merge,QPSK,TPC,56x56,randPost,postDecode,sync,PASS,1,1,0,1,0,0,16,6,5.3836854,
277,merge_BPSK_concatenated_RS_conv1_2_randOff_sync,merge,BPSK,concatenated,RS+conv1/2,randOff,preDecode,sync,PASS,1,1,0,1,0,0,15,7,0.7242227,
278,merge_BPSK_concatenated_RS_conv1_2_randPre_sync,merge,BPSK,concatenated,RS+conv1/2,randPre,preDecode,sync,PASS,1,1,0,1,0,0,15,7,0.7057115,
279,merge_BPSK_concatenated_RS_conv1_2_randPost_sync,merge,BPSK,concatenated,RS+conv1/2,randPost,postDecode,sync,PASS,1,1,0,1,0,0,15,7,0.7131922,
280,merge_BPSK_TPC_56x56_randOff_sync,merge,BPSK,TPC,56x56,randOff,preDecode,sync,PASS,1,1,0,1,0,0,16,6,5.6773479,
281,merge_BPSK_TPC_56x56_randPre_sync,merge,BPSK,TPC,56x56,randPre,preDecode,sync,PASS,1,1,-2,0,NaN,0,0,NaN,0.4771214,
282,merge_BPSK_TPC_56x56_randPost_sync,merge,BPSK,TPC,56x56,randPost,postDecode,sync,PASS,1,1,0,1,0,0,16,6,5.4734386,
283,merge_GMSK_concatenated_RS_conv1_2_randOff_sync,merge,GMSK,concatenated,RS+conv1/2,randOff,preDecode,sync,PASS,1,1,0,1,0,0,14,8,0.8201718,
284,merge_GMSK_concatenated_RS_conv1_2_randPre_sync,merge,GMSK,concatenated,RS+conv1/2,randPre,preDecode,sync,PASS,1,1,0,1,0,0,14,8,0.8557819,
285,merge_GMSK_concatenated_RS_conv1_2_randPost_sync,merge,GMSK,concatenated,RS+conv1/2,randPost,postDecode,sync,PASS,1,1,0,1,0,0,15,7,0.8244006,
286,merge_GMSK_TPC_56x56_randOff_sync,merge,GMSK,TPC,56x56,randOff,preDecode,sync,PASS,1,1,0,1,0,0,16,6,5.5751029,
287,merge_GMSK_TPC_56x56_randPre_sync,merge,GMSK,TPC,56x56,randPre,preDecode,sync,PASS,1,1,-2,0,NaN,0,0,NaN,0.5362816,
288,merge_GMSK_TPC_56x56_randPost_sync,merge,GMSK,TPC,56x56,randPost,postDecode,sync,PASS,1,1,0,1,0,0,16,6,5.599859,
289,merge_FM_concatenated_RS_conv1_2_randOff_sync,merge,FM,concatenated,RS+conv1/2,randOff,preDecode,sync,PASS,1,1,0,1,0,0,15,6,1.6217897,
290,merge_FM_concatenated_RS_conv1_2_randPre_sync,merge,FM,concatenated,RS+conv1/2,randPre,preDecode,sync,PASS,1,1,0,1,0,0,15,6,1.7137784,
291,merge_FM_concatenated_RS_conv1_2_randPost_sync,merge,FM,concatenated,RS+conv1/2,randPost,postDecode,sync,PASS,1,1,0,1,0,0,15,6,1.7198749,
292,merge_FM_TPC_56x56_randOff_sync,merge,FM,TPC,56x56,randOff,preDecode,sync,PASS,1,1,0,1,0,0,16,6,7.0600644,
293,merge_FM_TPC_56x56_randPre_sync,merge,FM,TPC,56x56,randPre,preDecode,sync,PASS,1,1,-2,0,NaN,0,0,NaN,1.4949484,
294,merge_FM_TPC_56x56_randPost_sync,merge,FM,TPC,56x56,randPost,postDecode,sync,PASS,1,1,0,1,0,0,16,6,6.8516686,
295,merge_UQPSK_concatenated_RS_conv1_2_randOff_sync,merge,UQPSK,concatenated,RS+conv1/2,randOff,preDecode,sync,PASS,1,1,0,1,0,0,14,7,1.3640269,
296,merge_UQPSK_concatenated_RS_conv1_2_randPre_sync,merge,UQPSK,concatenated,RS+conv1/2,randPre,preDecode,sync,PASS,1,1,0,1,0,0,14,7,1.3697525,
297,merge_UQPSK_concatenated_RS_conv1_2_randPost_sync,merge,UQPSK,concatenated,RS+conv1/2,randPost,postDecode,sync,PASS,1,1,0,1,0,0,14,7,1.2675286,
298,merge_UQPSK_TPC_56x56_randOff_sync,merge,UQPSK,TPC,56x56,randOff,preDecode,sync,PASS,1,1,0,1,0,0,16,6,11.4151525,
299,merge_UQPSK_TPC_56x56_randPre_sync,merge,UQPSK,TPC,56x56,randPre,preDecode,sync,PASS,1,1,-2,0,NaN,0,0,NaN,0.4353389,
300,merge_UQPSK_TPC_56x56_randPost_sync,merge,UQPSK,TPC,56x56,randPost,postDecode,sync,PASS,1,1,0,1,0,0,16,6,11.006404,
